dataset,dataset_slug,query_id,query_text,doc_id,x,y,z,bm25_rank,rerank_rank,rank_gain,bm25_score,reranker_score,relevance,visual_group,preview,abs_rank_gain,label,direction
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-1961,-0.07832603,0.02822606,0.33774772,52,42,10,10.611657207333774,-8.453524589538574,0,Subiu,"Reducing exposure to dioxins and related compounds through foods in the next generation.. Dioxins and related compounds are undesirable and unintended contaminants in the food supply, and dietary intake is the major route of exposure. Reduc...",10,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-2195,-0.36125082,-0.08842769,0.14265296,54,44,10,10.593298113946833,-8.519855499267578,0,Subiu,The influence of deep frying using various vegetable oils on acrylamide formation in sweet potato (Ipomoea batatas L. Lam) chips.. The objective of this study was to evaluate the precursors of acrylamide formation in sweet potato (SP) (Ipom...,10,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4682,0.07926705,0.23544444,-0.0046980274,34,25,9,11.23728515784159,-7.242856979370117,0,Subiu,Calcium absorption in Australian osteopenic post-menopausal women: an acute comparative study of fortified soymilk to cows' milk.. Calcium loss after menopause increases the risk of osteoporosis in aging women. Soymilk is often consumed to ...,9,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-1229,0.41904637,-0.44472808,-0.18667166,10,2,8,12.952093413464947,-3.6580862998962402,0,Top reranker,Milk is not just food but most likely a genetic transfection system activating mTORC1 signaling for postnatal growth. Milk has been recognized to represent a functionally active nutrient system promoting neonatal growth of mammals. Cell gro...,8,MED-1229,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-2123,0.41904634,-0.44472808,-0.18667161,11,3,8,12.952093413464947,-3.6580862998962402,0,Top reranker,Milk is not just food but most likely a genetic transfection system activating mTORC1 signaling for postnatal growth. Milk has been recognized to represent a functionally active nutrient system promoting neonatal growth of mammals. Cell gro...,8,MED-2123,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-1338,0.08227042,0.46150008,-0.18066923,35,28,7,11.18481646162184,-7.585544109344482,0,Subiu,Milk intake and risk of mortality and fractures in women and men: cohort studies. Objective To examine whether high milk consumption is associated with mortality and fractures in women and men. Design Cohort studies. Setting Three counties ...,7,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4782,-0.353907,-0.030395243,0.10219589,12,7,5,12.947108377116644,-5.7716145515441895,0,Top reranker,Survey of commercially available chocolate- and cocoa-containing products in the United States. 2. Comparison of flavan-3-ol content with nonfat co.... A survey of a broad range of chocolate- and cocoa-containing products marketed in the Un...,5,MED-4782,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-5016,-0.44482592,-0.006068869,-0.08990685,13,11,2,12.793343252525506,-5.899863243103027,0,Subiu,"Effects of dietary coconut oil, butter and safflower oil on plasma lipids, lipoproteins and lathosterol levels.. OBJECTIVE: The aim of this present study was to determine plasma levels of lathosterol, lipids, lipoproteins and apolipoprotein...",2,,Subiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-5014,-0.5064,0.100535184,-0.072613895,6,6,0,14.263165654318279,-5.1789069175720215,2,Relevante no qrels,"Dietary intake and the risk of coronary heart disease among the coconut-consuming Minangkabau in West Sumatra, Indonesia.. Several nutrition and non-nutritional pathways are recognised in the development and occurrence of cardiovascular dis...",0,MED-5014,Igual
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4004,-0.36067942,-0.12780903,-0.061073583,28,31,-3,11.353832735369794,-7.680801868438721,0,Caiu,Coconut oil enhances tomato carotenoid tissue accumulation compared to safflower oil in the Mongolian gerbil ( Meriones unguiculatus ).. Evidence suggests that monounsaturated and polyunsaturated fats facilitate greater absorption of carote...,3,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4002,-0.5089007,-0.038644776,-0.117389336,30,33,-3,11.291851071708445,-7.953375339508057,0,Caiu,Effects of dietary coconut oil on the biochemical and anthropometric profiles of women presenting abdominal obesity.. The effects of dietary supplementation with coconut oil on the biochemical and anthropometric profiles of women presenting...,3,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4443,-0.1658557,-0.037711065,0.04075239,49,53,-4,10.627039060630407,-9.256734848022461,0,Caiu,"Flaxseed: a potential source of food, feed and fiber.. Flaxseed is one of the most important oilseed crops for industrial as well as food, feed, and fiber purposes. Almost every part of the flaxseed plant is utilized commercially, either di...",4,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-2653,0.17088969,0.21777807,0.28559968,21,30,-9,11.673560583119755,-7.605337619781494,0,Caiu,"Nonylphenol and octylphenol in human breast milk.. Human milk is the most important form of nourishment for newborn children. Its consumption is strongly recommended by health authorities also for other important advantages. Unfortunately, ...",9,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-1595,0.31656387,0.051356997,0.055863563,40,51,-11,10.812203457364786,-9.100014686584473,0,Caiu,"Development of an LC-MS/MS method to quantify sex hormones in bovine milk and influence of pregnancy in their levels.. Hormones work in harmony in the body, and this status must be maintained to avoid metabolic disequilibrium and the subseq...",11,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4899,0.2640813,0.17314857,-0.050012078,25,36,-11,11.494084239414638,-8.042470932006836,0,Caiu,"Quantitative measurement of endogenous estrogen metabolites, risk-factors for development of breast cancer, in commercial milk products by LC-MS/MS.. Increased levels of estrogen metabolites (EM) are associated with cancers of the reproduct...",11,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4751,0.39692834,0.27968428,-0.056996584,20,32,-12,11.687175063220316,-7.753626823425293,0,Caiu,"The possible role of female sex hormones in milk from pregnant cows in the development of breast, ovarian and corpus uteri cancers.. The continued increase in incidence of some hormone-related cancers worldwide is of great concern. Although...",12,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4113,0.08840949,-0.6107745,0.22992384,45,58,-13,10.6766382660187,-10.196491241455078,0,Caiu,Good riddance: Thymocyte clonal deletion prevents autoimmunity.. Clonal deletion is arguably the most important mechanism of eliminating self-reactive thymocytes from the T-cell repertoire. Recent work has identified new players in this pro...,13,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4173,0.18428813,0.19969225,0.025260633,22,38,-16,11.66166492516821,-8.316326141357422,0,Caiu,Chronic disease and infant nutrition: is it significant to public health?. OBJECTIVE: To assess the public health significance of premature weaning of infants from breast milk on later-life risk of chronic illness. DESIGN: A review and summ...,16,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-1224,0.0075877053,-0.08735594,-0.1763878,32,48,-16,11.240934707656391,-8.689176559448242,0,Caiu,"Skim milk, whey, and casein increase body weight and whey and casein increase the plasma C-peptide concentration in overweight adolescents.. In adults, dietary protein seems to induce weight loss and dairy proteins may be insulinotropic. Ho...",16,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4396,0.12333774,0.10933794,-0.009246351,14,34,-20,12.450571740119127,-7.971095561981201,0,Caiu,Milk consumption and acne in adolescent girls.. There has been a remarkable paucity of evidence for an association between diet and acne. Our previous studies suggest that there is an association between milk intake and teenage acne. This i...,20,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-1337,0.10225335,0.43442288,-0.23075481,26,47,-21,11.48328870959931,-8.624080657958984,0,Caiu,"Milk intake and risk of hip fracture in men and women: a meta-analysis of prospective cohort studies.. Milk contains calcium, phosphorus, and protein and is fortified with vitamin D in the United States. All these ingredients may improve bo...",21,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-2772,0.2132685,0.29165125,-0.3808786,19,41,-22,11.756318529369373,-8.36673641204834,0,Caiu,Milk consumption is a risk factor for prostate cancer: meta-analysis of case-control studies.. Prostate cancer has become the most common cancer among men in the United States. Although milk consumption is considered to be a risk factor in ...,22,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-3109,-0.15359552,-0.18995017,0.29084364,2,27,-25,17.003191461016122,-7.541492938995361,0,Caiu,"You AhR what you eat: linking diet and immunity.. The aryl hydrocarbon receptor (AhR) is responsible for the toxic effects of environmental pollutants such as dioxin, but little is known about its normal physiological functions. Li et al. (...",25,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-5189,0.18812966,0.21494941,-0.22473976,24,50,-26,11.597965412632478,-8.98487663269043,0,Caiu,Adolescent milk fat and galactose consumption and testicular germ cell cancer.. Recent case-control studies suggested that dairy product consumption is an important risk factor for testicular cancer. We examined the association between cons...,26,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-1768,0.39258513,0.085268416,0.006227744,16,43,-27,12.104884016751226,-8.493427276611328,0,Caiu,Is milk responsible for male reproductive disorders?. The role of environmental compounds with estrogenic activity in the development of male reproductive disorders has been a source of great concern. Among the routes of human exposure to e...,27,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-3386,0.14019096,-0.18779832,0.2659543,27,57,-30,11.38972730882162,-10.19346809387207,0,Caiu,"Bronchiolitis obliterans organizing pneumonia (BOOP) after thoracic radiotherapy for breast carcinoma. Common complications of thoracic radiotherapy include esophagitis and radiation pneumonitis. However, it is important to be aware of unco...",30,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-2056,0.24500272,-0.08392805,0.52533513,18,49,-31,11.872847789308697,-8.859199523925781,0,Caiu,Cow's Milk Allergy Is a Major Contributor in Recurrent Perianal Dermatitis of Infants. Background. Recurrent perianal inflammation has great etiologic diversity. A possible cause is cow's milk allergy (CMA). The aim was to assess the magnit...,31,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4001,-0.52458185,-0.068292126,-0.13406724,5,37,-32,14.270200613765518,-8.274840354919434,0,Caiu,An Open-Label Pilot Study to Assess the Efficacy and Safety of Virgin Coconut Oil in Reducing Visceral Adiposity. Introduction. This is an open-label pilot study on four weeks of virgin coconut oil (VCO) to investigate its efficacy in weigh...,32,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4000,-0.5175942,0.037324436,-0.15205769,4,40,-36,16.42831852370685,-8.354938507080078,0,Caiu,"Coconut oil predicts a beneficial lipid profile in pre-menopausal women in the Philippines. Coconut oil is a common edible oil in many countries, and there is mixed evidence for its effects on lipid profiles and cardiovascular disease risk....",36,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-1770,0.23302922,0.07910175,0.032146506,15,52,-37,12.331202681295952,-9.168904304504395,0,Caiu,"Possible health impact of animal oestrogens in food.. Oestrogens govern reproductive functions in vertebrates, and are present in all animal tissues. The theoretical maximum daily intake (TMDI) of oestradiol-17beta by consumption of cattle ...",37,,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-2126,0.31407857,-0.42622286,-0.27294946,17,56,-39,11.910896411683957,-9.867491722106934,0,Caiu,Excessive Leucine-mTORC1-Signalling of Cow Milk-Based Infant Formula: The Missing Link to Understand Early Childhood Obesity. Increased protein supply by feeding cow-milk-based infant formula in comparison to lower protein content of human ...,39,MED-2126,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-5012,-0.4608022,-0.058104675,-0.014910424,1,45,-44,21.659861139287727,-8.527563095092773,2,Relevante no qrels,The cholesterol-lowering effect of coconut flakes in humans with moderately raised serum cholesterol.. This study investigated the effect of coconut flakes on serum cholesterol levels of humans with moderately raised serum cholesterol in 21...,44,MED-5012,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-5015,-0.38423827,-0.05500798,0.09646214,7,55,-48,14.013930990813364,-9.594353675842285,0,Caiu,"The intravenous use of coconut water.. Medical resources routinely used for intravenous hydration and resuscitation of critically ill patients may be limited in remote regions of the world. When faced with these shortages, physicians have h...",48,MED-5015,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4695,0.11199722,-0.17199215,0.010374415,8,59,-51,13.811361085508917,-10.196765899658203,0,Caiu,"Electric light causes cancer? Surely you're joking, Mr. Stevens.. Night is no longer dark in the modern world, and the Milky Way has disappeared. Electric light has benefits but there are also a few detriments. These are (1) loss of the nig...",51,MED-4695,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-4236,-0.07169152,-0.16662632,-0.03760345,9,60,-51,13.097664026415087,-10.19681453704834,0,Caiu,"Benign prostatic hyperplasia in primary care: what you need to know.. PURPOSE: We reviewed recent literature and treatment guidelines regarding the prevalence, pathophysiology, and management of BPO related to BPH; and management of lower u...",51,MED-4236,Caiu
NF-Corpus,nfcorpus,PLAIN-3342,Is Coconut Milk Good For You?,MED-2291,-0.36725456,-0.03434039,0.08712245,3,54,-51,16.697143705347667,-9.523469924926758,0,Caiu,"Viscous versus nonviscous soluble fiber supplements: mechanisms and evidence for fiber-specific health benefits.. PURPOSE: This review focuses on the health benefits of viscous versus nonviscous soluble fibers, why symptoms can occur with i...",51,MED-2291,Caiu
