dataset,dataset_slug,query_id,query_text,doc_id,x,y,z,bm25_rank,rerank_rank,rank_gain,bm25_score,reranker_score,relevance,visual_group,preview,abs_rank_gain,label
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-3171,-0.06947688,-0.13236453,-0.37716162,15,50,-35,12.170954554623465,-6.909325122833252,0,Caiu,Freezing of infested pork muscle kills cysticerci.. A method for culturing cysticerci that allows successful evagination and growth of scolexes from metacestodes of Taenia solium was used to study the survival of cysticerci subjected to low...,35,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-1512,0.24355021,-0.030533992,-0.046097677,16,2,14,12.051791321412072,-0.7646301984786987,0,Top reranker,"Effect of endurance exercise training and curcumin intake on central arterial hemodynamics in postmenopausal women: pilot study.. BACKGROUND: Lifestyle modification (i.e., regular physical activity and diet) is effective in preventing the a...",14,MED-1512
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-1948,0.1339859,0.21562585,-0.3734158,17,46,-29,12.02916283455855,-6.756919860839844,0,Caiu,"Curcumin and neurodegenerative diseases. Over the last ten years curcumin has been reported to be effective against a wide variety of diseases and is characterized as having anti-carcinogenic, hepatoprotective, thrombosuppressive, cardiopro...",29,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-1040,-0.5310149,-0.11056788,0.3097503,18,30,-12,11.956010922090497,-5.2322001457214355,0,Caiu,"Assessment of normal bowel habits in the general adult population: the Popcol study.. OBJECTIVE: Defining normal stool habit is important when evaluating diarrhoea or constipation, but common confounders such as irritable bowel syndrome (IB...",12,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-3254,0.5110921,-0.16812031,0.21231316,19,17,2,11.922694956952002,-4.040716648101807,0,Subiu,Relation of serum lipoprotein levels and systolic blood pressure to early atherosclerosis. The Bogalusa Heart Study.. We assessed the relation of risk factors for cardiovascular disease to early atherosclerotic lesions in the aorta and coro...,2,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-4902,0.1428732,0.09223027,-0.28204197,20,25,-5,11.88852473145209,-4.667975425720215,0,Caiu,"Addition of milk prevents vascular protective effects of tea.. AIMS: Experimental and clinical studies indicate that tea exerts protection against cardiovascular diseases. However, a question of much debate is whether addition of milk modif...",5,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-330,0.27571473,-0.032868158,-0.15904473,21,36,-15,11.588546229711088,-5.872309684753418,0,Caiu,"Dietary Phosphorus Acutely Impairs Endothelial Function. Excessive dietary phosphorus may increase cardiovascular risk in healthy individuals as well as in patients with chronic kidney disease, but the mechanisms underlying this risk are no...",15,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-1006,-0.6074399,-0.078745246,-0.05924144,22,8,14,11.538601195715458,-3.0278162956237793,0,Top reranker,"Treatment of abdominal pain in irritable bowel syndrome.. Functional abdominal pain in the context of irritable bowel syndrome (IBS) is a challenging problem for primary care physicians, gastroenterologists and pain specialists. We review t...",14,MED-1006
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-4092,0.2633176,0.006296454,0.0444949,23,38,-15,11.391905716889259,-6.13319730758667,0,Caiu,"Uric acid: A marker of increased cardiovascular risk.. The relationship between uric acid and cardiovascular disease has been known since the 19th century, after that many authors reported the classical association of gout, hypertension, ob...",15,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-5155,-0.049159102,0.16636336,0.178432,24,34,-10,11.197267512521188,-5.720949649810791,0,Caiu,"Effect of a Daily Supplement of Soy Protein on Body Composition and Insulin Secretion in Postmenopausal Women. Objective: To determine if a supplement of soy protein improves body composition, body fat distribution, and glucose and insulin ...",10,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-4696,-0.07742255,0.370998,-0.29990247,25,26,-1,11.115074745599754,-4.735189437866211,0,Caiu,"Modulation of inflammatory genes by natural dietary bioactive compounds.. Several epidemiologic studies have shown that chronic inflammation predisposes individuals to various types of cancer. Many cancers arise from sites of infection, chr...",1,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-3512,-0.6554859,-0.12012086,0.012758899,26,24,2,11.109961644000032,-4.5964250564575195,0,Subiu,"Effect of red pepper on symptoms of irritable bowel syndrome: preliminary study.. BACKGROUND: Abdominal pain, that characterizes irritable bowel syndrome (IBS) together with bloating and disordered defecation, is mainly related to a viscera...",2,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-2004,0.16313438,-0.0068410947,0.30851814,27,51,-24,11.062638252886803,-7.431037425994873,0,Caiu,"Creating public awareness: state 2025 diabetes forecasts.. The incidence and prevalence of diabetes (primarily type 2 diabetes) has risen sharply since 1990. It is projected to increase another 64% between 2010 and 2025, affecting 53.1 mill...",24,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-1009,-0.5513982,-0.0097812,-0.14178763,28,5,23,10.799890375950541,-2.428565502166748,0,Top reranker,"The effect of enteric-coated, delayed-release peppermint oil on irritable bowel syndrome.. Herbal remedies, particularly peppermint, have been reported to be helpful in controlling symptoms of irritable bowel syndrome (IBS). We conducted a ...",23,MED-1009
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-718,-0.39030778,-0.12475438,0.16790192,29,4,25,10.731833301299334,-1.9495240449905396,0,Top reranker,"The relation of passage of gas an abdominal bloating to colonic gas production.. OBJECTIVE: To determine the relation of gas passage and abdominal bloating to the production of gas in the colon. DESIGN: Randomized, double-blind, crossover s...",25,MED-718
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-1434,0.19005749,0.2718493,-0.42001924,30,43,-13,10.574960557077777,-6.595865249633789,0,Caiu,Protective effects and mechanisms of sirtuins in the nervous system. Silent information regulator two proteins (sirtuins or SIRTs) are a group of histone deacetylases whose activities are dependent on and regulated by nicotinamide adenine d...,13,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-3513,-0.4775166,-0.27757847,0.06284401,31,27,4,10.519336996407194,-4.891870498657227,0,Subiu,Altered rectal sensory response induced by balloon distention in patients with functional abdominal pain syndrome. Background Functional abdominal pain syndrome (FAPS) has chronic unexplained abdominal pain and is similar to the psychiatric...,4,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-5069,-0.07816786,0.35036066,-0.32480982,32,47,-15,10.517385748162896,-6.77781343460083,0,Caiu,From beans to berries and beyond: teamwork between plant chemicals for protection of optimal human health.. It is now well known to consumers around the world that certain fruits and vegetables can help prevent or treat chronic human diseas...,15,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-3106,-0.19691515,0.101710364,-0.23653355,33,33,0,10.411568604206895,-5.402019023895264,0,Sem mudança,"The aryl hydrocarbon receptor in inflammatory bowel disease: linking the environment to disease pathogenesis.. PURPOSE OF REVIEW: The aryl hydrocarbon receptor (AhR), a transcription factor activated by a large number of environmental agent...",0,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-1068,0.17436118,0.28013188,-0.1592608,34,23,11,10.337008498760154,-4.575767517089844,0,Subiu,Molecular Mechanisms and the Role of Saturated Fatty Acids in the Progression of Non-Alcoholic Fatty Liver Disease. The steady rise in Western obesity rates has been closely linked to significant increases in a multitude of accompanying hea...,11,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-1680,0.393421,-0.10209949,0.38896042,35,49,-14,10.278322342995573,-6.851601600646973,0,Caiu,Effect of potentially modifiable risk factors associated with myocardial infarction in 52 countries (the INTERHEART study): case-control study.. BACKGROUND: Although more than 80% of the global burden of cardiovascular disease occurs in low...,14,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-4299,0.155063,0.3837999,0.14344089,36,45,-9,10.12919763108583,-6.691161632537842,0,Caiu,"Evolution of the human diet: linking our ancestral diet to modern functional foods as a means of chronic disease prevention.. The evolution of the human diet over the past 10,000 years from a Paleolithic diet to our current modern pattern o...",9,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-3779,0.017485935,0.047393184,0.07492912,37,53,-16,10.064953101590527,-7.821892261505127,0,Caiu,"Vegetarianism and menstrual cycle disturbances: is there an association?. The question of whether menstrual disturbances are more common in vegetarian than in nonvegetarian women is complex. Disturbances of the cycle may be clinical (ie, am...",16,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-1204,0.24833478,-0.1749334,-0.30562434,38,21,17,10.038934264513271,-4.313579082489014,0,Subiu,Cholesterol crystals cause mechanical damage to biological membranes: a proposed mechanism of plaque rupture and erosion leading to arterial thromb.... BACKGROUND: Plaque rupture and/or erosion is the leading cause of cardiovascular events;...,17,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-1699,0.029957304,0.17829421,0.16649501,39,54,-15,10.026452752217425,-8.270868301391602,0,Caiu,"Mediterranean diet, cognitive function, and dementia: a systematic review.. BACKGROUND: Adherence to a Mediterranean diet has been associated with lower risk of various age-related diseases including dementia. Although narrative reviews hav...",15,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-3964,-0.14466983,0.24657024,0.056374416,40,13,27,9.76674142515563,-3.2680482864379883,0,Subiu,Diet and risk of inflammatory bowel disease.. BACKGROUND: A better understanding of the environmental factors leading to inflammatory bowel disease should help to prevent occurrence of the disease and its relapses. AIM: To review current kn...,27,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-1026,0.14059965,-0.52444965,-0.01094257,41,20,21,9.712106429969776,-4.2901434898376465,0,Subiu,Pressure changes in varicose veins.. Pressures in the superficial leg veins of 24 patients with varicose veins and 6 normal controls were studied. In the controls there was no rise in pressure in the veins on increasing the intra-abdominal ...,21,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-2105,-0.19904344,0.3322774,-0.08276805,42,57,-15,9.694336220482583,-8.362104415893555,0,Caiu,"Recent Perspectives on the Relations between Fecal Mutagenicity, Genotoxicity, and Diet. DNA damage is an essential component of the genesis of colonic cancer. Gut microbial products and food components are thought to be principally respons...",15,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-3436,0.38504395,-0.2646344,0.2324778,43,29,14,9.67756997506568,-5.006653308868408,0,Subiu,How to save a life during a clinic visit for erectile dysfunction by modifying cardiovascular risk factors.. Erectile dysfunction (ED) is an early marker for systemic atherosclerosis and is a predictor for coronary artery disease and cardia...,14,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-3880,-0.051346265,-0.073975466,0.177238,44,58,-14,9.6564351670071,-8.476239204406738,0,Caiu,Estimating changes in public health following implementation of hazard analysis and critical control point in the United States broiler slaughter i.... A common approach to reducing microbial contamination has been the implementation of a H...,14,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-946,-0.6123109,-0.18642785,0.004189175,45,1,44,9.652839074204529,-0.2201751172542572,0,Top reranker,"Bulking agents, antispasmodics and antidepressants for the treatment of irritable bowel syndrome.. BACKGROUND: Irritable bowel syndrome (IBS) is a common chronic gastrointestinal disorder. The role of pharmacotherapy for IBS is limited and ...",44,MED-946
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-3925,-0.18008693,0.3003693,-0.09783352,46,6,40,9.578015577136092,-2.692838668823242,0,Top reranker,A diet low in animal fat and rich in N-hexacosanol and fisetin is effective in reducing symptoms of Parkinson's disease.. This study describes how foods rich in fisetin and hexacosanol added to a strict diet reversed most symptoms of Parkin...,40,MED-3925
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-2489,0.122149564,0.23412079,0.22156148,47,59,-12,9.564587248693396,-8.585397720336914,0,Caiu,"Agricultural policies, food and public health. A historical view on how our agricultural systems evolved and how they are contributing to obesity and disease.",12,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-2220,0.032838393,0.23437823,0.37446314,48,42,6,9.564444345776195,-6.3425822257995605,0,Subiu,Position of the academy of nutrition and dietetics: total diet approach to healthy eating.. It is the position of the Academy of Nutrition and Dietetics that the total diet or overall pattern of food eaten is the most important focus of hea...,6,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-978,-0.3764277,-0.46738136,-0.08078023,49,52,-3,9.54351459215283,-7.577073097229004,0,Caiu,"A Delayed Recrudescent Case of Sigmoidocutaneous Fistula due to Diverticulitis. Colocutaneous fistula caused by diverticulitis is relatively rare, and a delayed recrudescent case of colocutaneous fistula is very uncommon. We herein report a...",3,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-5344,0.44339973,-0.15718685,0.2854802,50,35,15,9.523441252469325,-5.748183727264404,0,Subiu,"Risk factors for myocardial infarction in women and men: insights from the INTERHEART study.. AIMS: Coronary heart disease (CHD) is a leading cause of death among men and women globally. Women develop CHD about 10 years later than men, yet ...",15,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-2110,0.0968873,-0.3688567,-0.28838336,51,12,39,9.512357781648525,-3.2411093711853027,0,Subiu,"Extracorporeal membrane oxygenation for newborn respiratory failure: forty-five cases.. Almost all types of newborn respiratory failure are reversible. However, supportive treatment (oxygen and positive airway pressure) can damage the lung,...",39,MED-2110
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-2501,0.16534641,0.25789395,-0.48508397,52,55,-3,9.454582397975758,-8.288078308105469,0,Caiu,"Amino acid sensing and regulation of mTORC1.. Amino acids play fundamental roles in the cell both as the building blocks of new proteins and as metabolic precursors. To adapt to their limitation during periods of protein starvation, multipl...",3,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-4002,-0.057351284,0.1944262,0.18278131,53,44,9,9.44391904639124,-6.6382598876953125,0,Subiu,Effects of dietary coconut oil on the biochemical and anthropometric profiles of women presenting abdominal obesity.. The effects of dietary supplementation with coconut oil on the biochemical and anthropometric profiles of women presenting...,9,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-717,-0.4183441,0.05962635,0.19137304,54,16,38,9.361349858035558,-3.8651509284973145,0,Subiu,"Fructose intake at current levels in the United States may cause gastrointestinal distress in normal adults.. OBJECTIVE: Fructose intake has increased considerably in the United States, primarily as a result of increased consumption of high...",38,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-2895,0.05072959,0.25654453,-0.0003161302,55,15,40,9.346264371262874,-3.4934756755828857,0,Subiu,Dietary modification of human macular pigment density.. PURPOSE: The retinal carotenoids lutein (L) and zeaxanthin (Z) that form the macular pigment (MP) may help to prevent neovascular age-related macular degeneration. The purpose of this ...,40,MED-2895
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-1028,-0.44890732,-0.31364828,0.18745467,56,14,42,9.316517682489394,-3.418889045715332,0,Subiu,"Faecal retention: a common cause in functional bowel disorders, appendicitis and haemorrhoids--with medical and surgical therapy.. The present studies explored whether faecal retention in the colon is a causative factor in functional bowel ...",42,MED-1028
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-1301,-0.0733031,0.20531592,0.2508882,57,18,39,9.243251903933135,-4.127504348754883,0,Subiu,The impact of cereal grain consumption on the development and severity of non-alcoholic fatty liver disease.. PURPOSE: There is evidence that dietary habits contribute to the presence and severity of non-alcoholic fatty liver disease (NAFLD...,39,MED-1301
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-3370,-0.14516436,0.09272333,0.22768392,58,56,2,9.217642750959754,-8.335037231445312,0,Subiu,"Serving styles of raw snack vegetables. What do children want?. The primary aim of this study was to investigate how serving styles of snack vegetables appeal to children, focusing on size and shape. A secondary aim was to investigate child...",2,
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-1008,-0.5889223,0.005849444,-0.09164701,59,19,40,9.188591670727172,-4.205130577087402,0,Subiu,Peppermint oil (Mintoil) in the treatment of irritable bowel syndrome: a prospective double blind placebo-controlled randomized trial.. INTRODUCTION: The use of peppermint oil in treating the irritable bowel syndrome has been studied with v...,40,MED-1008
NF-Corpus,nfcorpus,PLAIN-3074,How to Help Prevent Abdominal Aortic Aneurysms,MED-5005,-0.34369728,0.06423557,0.27850708,60,48,12,9.106351080768228,-6.809902667999268,0,Subiu,Increased prevalence of constipation in pre-school children is attributable to under-consumption of plant foods: A community-based study.. AIM: To evaluate consumption of foods rich in dietary fibre and its relation to the prevalence of con...,12,
