dataset,dataset_slug,query_id,query_text,doc_id,x,y,z,bm25_rank,rerank_rank,rank_gain,bm25_score,reranker_score,relevance,visual_group,preview,abs_rank_gain,label,direction
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-3795,0.16326126,-0.19072367,0.25353596,38,17,21,9.302572264869928,-5.928746700286865,0,Subiu,"Mastalgia: a review of management.. Mastalgia affects up to two-thirds of women at some time during their reproductive lives. It is usually benign, but thefear of underlying breast cancer is why many women present for evaluation. Mastalgia ...",21,,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2107,0.074955866,0.06501374,-0.34061056,33,16,17,9.787793220222277,-5.6621294021606445,0,Subiu,"The metabolic consequences of slow colonic transit.. Intestinal transit has a substantial influence on the enterohepatic circulation of bile acids and steroid hormones, on colonic pH, and on short chain fatty acid concentrations in the dist...",17,,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-3843,0.4488592,-0.22561501,0.07376481,36,20,16,9.396211661645847,-6.2738261222839355,0,Subiu,"Antiproliferative activity of lignans against the breast carcinoma cell lines MCF 7 and BT 20.. PURPOSE: Phytoestrogens are plant-derived, non-steroidal phytochemicals with anticarcinogenic potential. The major structural classes are the is...",16,,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-4695,0.18163982,-0.26681364,0.124788135,44,30,14,9.033458768671343,-7.1940507888793945,0,Subiu,"Electric light causes cancer? Surely you're joking, Mr. Stevens.. Night is no longer dark in the modern world, and the Milky Way has disappeared. Electric light has benefits but there are also a few detriments. These are (1) loss of the nig...",14,,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2424,0.21307346,0.449482,-0.0076283934,57,44,13,8.46342863277109,-8.581863403320312,0,Subiu,Preschool diet and adult risk of breast cancer.. Events before puberty may affect adult risk of breast cancer. We examined whether diet during preschool age may affect a woman's risk of breast cancer later in life. We conducted a case-contr...,13,,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-1885,-0.3214524,0.13155474,-0.42940515,46,35,11,8.954870660784815,-7.476141929626465,0,Subiu,Rethinking dietary cholesterol.. PURPOSE OF REVIEW: The perceived notion that dietary cholesterol is associated with increased risk for coronary heart disease (CHD) has led to dietary recommendations of no more than 300  mg/day for healthy ...,11,,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2967,-0.31355244,-0.022590863,-0.4444847,49,40,9,8.68189574566357,-8.240066528320312,0,Subiu,"Atherogenesis: a postprandial phenomenon.. The hypothesis that plasma chylomicrons in persons who ingest a cholesterol-rich diet are atherogenic is evaluated. Evidence is presented that in humans, and experimental animals, chylomicron remna...",9,,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2435,0.49403802,-0.16289578,-0.05662253,27,19,8,10.230639909640415,-6.198204517364502,1,Relevante no qrels,Chemoprevention of breast cancer by dietary compounds.. Breast cancer is the leading cause of cancer-related deaths in women in the United States and many other countries. There is an immediate need for more effective and less toxic therape...,8,MED-2435,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-5066,0.24486956,0.4291695,-0.11643518,26,18,8,10.402792880840495,-6.107006549835205,0,Subiu,"Influence of a Diet Very High in Vegetables, Fruit, and Fiber and Low in Fat on Prognosis Following Treatment for Breast Cancer. Context Evidence is lacking that a dietary pattern high in vegetables, fruit, and fiber and low in total fat ca...",8,,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-1207,-0.26338625,-0.40125898,-0.24662031,29,22,7,9.976390843833826,-6.400399208068848,0,Subiu,"Cholesterol crystals piercing the arterial plaque and intima trigger local and systemic inflammation.. The response to arterial wall injury is an inflammatory process, which over time becomes integral to the development of atherosclerosis a...",7,,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2439,0.102348804,-0.008275057,-0.41519508,19,13,6,11.18419038259459,-5.2265944480896,1,Relevante no qrels,"Plant Sterols as Anticancer Nutrients: Evidence for Their Role in Breast Cancer. While many factors are involved in the etiology of cancer, it has been clearly established that diet significantly impacts one’s risk for this disease. More re...",6,MED-2439,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2431,-0.19411655,0.19367139,0.35389903,6,1,5,17.12649044284347,1.8876181840896606,2,Relevante no qrels,"Long-term statin use and risk of ductal and lobular breast cancer among women 55-74 years of age. Background Mechanistic studies largely support the chemopreventive potential of statins. However, results of epidemiologic studies investigati...",5,MED-2431,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-4562,-0.5534206,-0.07467995,2.6699596e-05,12,11,1,12.252996531667685,-4.881460666656494,0,Subiu,"Use of intensive lipid-lowering therapy in patients hospitalized with acute coronary syndrome: an analysis of 65,396 hospitalizations from 344 hosp.... OBJECTIVES: The study aimed to analyze the use of intensive lipid-lowering therapy (LLT)...",1,,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-4827,-0.25320402,0.033674102,-0.17954433,7,6,1,16.26423615669374,-3.123997688293457,0,Top reranker,Men with Low Serum Cholesterol Have a Lower Risk of High-Grade Prostate Cancer in the Placebo Arm of the Prostate Cancer Prevention Trial. Background Several prospective studies suggest that use of cholesterol-lowering statin drugs is inver...,1,MED-4827,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-1488,-0.3550958,-0.04742392,0.058383133,42,41,1,9.112516860548538,-8.272989273071289,0,Subiu,What benefit do patients expect from adding second and third antihypertensive drugs?. Aims To discover whether patients have the same expectations of benefit from taking the first and any additional drugs for the treatment of hypertension a...,1,,Subiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-1352,-0.060605686,-0.4349229,0.04065603,43,43,0,9.050649189074736,-8.562856674194336,0,Sem mudança,Primum Non Nocere: An Evolutionary Analysis of Whether Antidepressants Do More Harm than Good. Antidepressant medications are the first-line treatment for people meeting current diagnostic criteria for major depressive disorder. Most antide...,0,,Igual
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2429,-0.1425089,0.17255002,0.43735915,2,3,-1,21.253943030807083,-2.2433857917785645,2,Top 5 BM25 e BGE,"Statin use and risk of breast cancer: a meta-analysis of observational studies.. Emerging evidence suggests that statins' may decrease the risk of cancers. However, available evidence on breast cancer is conflicting. We, therefore, examined...",1,MED-2429,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-1227,-0.11986185,0.39353818,0.08393278,54,55,-1,8.50984818098885,-9.701630592346191,0,Caiu,"Do breast-feeding and delayed introduction of solid foods protect against subsequent obesity?. To correct methodologic flaws (Type II error, confounding variables, and nonblinding) in previous studies relating infant feeding to later obesit...",1,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2527,-0.43070853,0.16187996,-0.30203313,47,48,-1,8.932415989203955,-8.878952980041504,0,Caiu,Cross-analysis of dietary prescriptions and adherence in 356 hypercholesterolaemic patients.. BACKGROUND: One of the major issues in controlling serum cholesterol through dietetic intervention appears to be the need to improve patient adher...,1,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-1193,-0.55206347,-0.06523668,-0.0014915232,5,7,-2,18.446523145574822,-3.952406406402588,0,Top reranker,The effects of lowering LDL cholesterol with statin therapy in people at low risk of vascular disease: meta-analysis of individual data from 27 randomised trials. Summary Background Statins reduce LDL cholesterol and prevent vascular events...,2,MED-1193,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-3726,0.3494333,-0.18623921,-0.19236775,37,39,-2,9.368296844517307,-8.083600997924805,0,Caiu,"Combinatorial strategies employing nutraceuticals for cancer development.. Cancer is the second leading cause of death worldwide. Therefore, the fight against cancer is one of the most important areas of research in medicine, and one that p...",2,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-14,-0.09625211,0.15849982,0.4480912,1,5,-4,21.32112932139999,-2.6612133979797363,2,Top 5 BM25 e BGE,"Statin use after diagnosis of breast cancer and survival: a population-based cohort study.. BACKGROUND: Preclinical studies have shown that statins, particularly simvastatin, can prevent growth in breast cancer cell lines and animal models....",4,MED-14,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-4050,0.30978933,0.2589094,0.0785443,53,58,-5,8.549534846317073,-10.083781242370605,0,Caiu,Green tea consumption and breast cancer risk or recurrence: a meta-analysis.. Green tea is a commonly consumed beverage in Asia and has been suggested to have anti-inflammatory and possible anti-carcinogenic properties in laboratory studies...,5,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-3110,0.2446359,-0.37718922,0.12466917,32,37,-5,9.819277810532366,-7.902984619140625,0,Caiu,"Aryl Hydrocarbon Receptor (AHR)-Active Pharmaceuticals Are Selective AHR Modulators in MDA-MB-468 and BT474 Breast Cancer Cells. Leflunomide, flutamide, nimodipine, mexiletine, sulindac, tranilast, 4-hydroxytamoxifen, and omeprazole are pha...",5,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-3551,0.41748068,-0.16987583,-0.107461944,23,28,-5,10.937303144654365,-6.946176528930664,0,Caiu,Modulation of angiogenesis by dietary phytoconstituents in the prevention and intervention of breast cancer.. Breast cancer is the leading cause of cancer-related deaths for women in the United States and the rest of the world. About 8% of ...,5,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2427,0.099262215,-0.26669317,-0.203473,9,15,-6,14.38917012625573,-5.418980121612549,2,Relevante no qrels,Elevated Levels of Cholesterol-Rich Lipid Rafts in Cancer Cells Are Correlated with Apoptosis Sensitivity Induced by Cholesterol-Depleting Agents. Lipid rafts/caveolae are membrane platforms for signaling molecules that regulate various cel...,6,MED-2427,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-10,-0.13383225,0.18206476,0.44407442,3,9,-6,19.32902567565038,-4.462289810180664,2,Relevante no qrels,"Statin Use and Breast Cancer Survival: A Nationwide Cohort Study from Finland. Recent studies have suggested that statins, an established drug group in the prevention of cardiovascular mortality, could delay or prevent breast cancer recurre...",6,MED-10,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-4559,-0.38944763,0.09130867,0.05238274,30,36,-6,9.950860647233341,-7.655395030975342,1,Relevante no qrels,Can a statin neutralize the cardiovascular risk of unhealthy dietary choices?. The cardiovascular risk reduction associated with different statins for the prevention of cardiovascular disease and the cardiovascular risk increase associated ...,6,MED-4559,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-3281,0.16953029,-0.41774634,-0.022646477,45,51,-6,8.98499321829067,-9.414144515991211,0,Caiu,Targeting methionine auxotrophy in cancer: discovery & exploration.. INTRODUCTION: Amino acid auxotrophy or the metabolic defect which renders cancer incapable of surviving under amino acid depleted conditions is being exploited and explore...,6,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-3832,0.39238667,0.069679715,-0.0043139337,17,23,-6,11.363932572868272,-6.435916423797607,0,Caiu,Do phytoestrogens reduce the risk of breast cancer and breast cancer recurrence? What clinicians need to know.. Oestrogen is an important determinant of breast cancer risk. Oestrogen-mimicking plant compounds called phytoestrogens can bind ...,6,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-1887,-0.44906533,-0.1520835,-0.053831324,25,34,-9,10.652610505922697,-7.400327682495117,0,Caiu,What is the role of advanced lipoprotein analysis in practice?. Some practitioners use advanced lipoprotein analysis with the goal of better predicting risk and individualizing lifestyle and drug therapy for cardiovascular prevention. Unfor...,9,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-3834,0.28601387,0.4797525,-0.014040841,20,31,-11,11.08447406943839,-7.232150554656982,0,Caiu,"Dietary lignan intakes in relation to survival among women with breast cancer: the Western New York Exposures and Breast Cancer (WEB) Study. Dietary lignan intakes have been associated with reduced breast cancer risks; however, no previous ...",11,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-3830,0.28601384,0.47975257,-0.014040845,21,32,-11,11.08447406943839,-7.232150554656982,0,Caiu,"Dietary lignan intakes in relation to survival among women with breast cancer: the Western New York Exposures and Breast Cancer (WEB) Study. Dietary lignan intakes have been associated with reduced breast cancer risks; however, no previous ...",11,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-4830,-0.41365784,-0.35933918,0.2286621,8,21,-13,14.97719600852003,-6.29988431930542,1,Relevante no qrels,Statin therapy induces ultrastructural damage in skeletal muscle in patients without myalgia.. Muscle pain and weakness are frequent complaints in patients receiving 3-hydroxymethylglutaryl coenzymeA (HMG CoA) reductase inhibitors (statins)...,13,MED-4830,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-5052,0.21227276,-0.00034420952,-0.05889844,41,54,-13,9.133573536146484,-9.563117980957031,0,Caiu,Can green tea do that? A literature review of the clinical evidence.. OBJECTIVE: Habitual green tea consumption has long been associated with health benefits including chemoprevention and cardiovascular protection. This non-systematic liter...,13,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-557,-0.10400305,-0.26624665,0.15910919,39,53,-14,9.144764593725268,-9.464068412780762,0,Caiu,"Dysmenorrhea.. Dysmenorrhea is the leading cause of recurrent short-term school absence in adolescent girls and a common problem in women of reproductive age. Risk factors for dysmenorrhea include nulliparity, heavy menstrual flow, smoking,...",14,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-3139,0.27020967,0.3222236,0.046689782,28,42,-14,10.075212476749346,-8.405491828918457,0,Caiu,Soy food intake after diagnosis of breast cancer and survival: an in-depth analysis of combined evidence from cohort studies of US and Chinese women. Background: Soy isoflavones have antiestrogenic and anticancer properties but also possess...,14,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-4829,-0.5031813,0.03524032,0.39998853,10,26,-16,13.526820535703964,-6.740079879760742,1,Relevante no qrels,"Statin therapy, muscle function and falls risk in community-dwelling older adults.. BACKGROUND: Statin therapy can cause myopathy, however it is unclear whether this exacerbates age-related muscle function declines. AIM: To describe differe...",16,MED-4829,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2434,0.19430229,-0.08199451,-0.222126,13,29,-16,11.942815101682458,-7.1288275718688965,1,Relevante no qrels,"High ACAT1 expression in estrogen receptor negative basal-like breast cancer cells is associated with LDL-induced proliferation.. The specific role of dietary fat in breast cancer progression is unclear, although a low-fat diet was associat...",16,MED-2434,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-3550,0.26380494,-0.17605732,-0.18350354,31,47,-16,9.844491385153553,-8.768594741821289,0,Caiu,"Tumor Angiogenesis as a Target for Dietary Cancer Prevention. Between 2000 and 2050, the number of new cancer patients diagnosed annually is expected to double, with an accompanying increase in treatment costs of more than $80 billion over ...",16,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2885,0.113781966,-0.51746035,0.09676486,40,60,-20,9.142946558992119,-10.196518898010254,0,Caiu,Ultraviolet phototoxicity to the retina.. OBJECTIVE: This overview of ultraviolet (UV) phototoxicity considers the interaction of UVA and short-wavelength VIS light with the retina and retinal pigment epithelium. METHODS: The damage mechani...,20,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-958,0.13562207,-0.009356075,0.22317864,24,46,-22,10.79964268728182,-8.601652145385742,0,Caiu,"A comparative review of thermography as a breast cancer screening technique.. Breast cancer is the most frequently diagnosed cancer of women in North America. Despite advances in treatment that have reduced mortality, breast cancer remains ...",22,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-4828,-0.41610867,-0.2374068,0.4217638,34,56,-22,9.749957059917088,-9.963726997375488,1,Relevante no qrels,Association between statin-associated myopathy and skeletal muscle damage. Background Many patients taking statins often complain of muscle pain and weakness. The extent to which muscle pain reflects muscle injury is unknown. Methods We obt...,22,MED-4828,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2428,-0.31604502,0.09749464,0.41723284,4,27,-23,19.122094026431434,-6.776549339294434,1,Relevante no qrels,"Women and statin use: a women's health advocacy perspective.. This paper is based on a longer report on the benefits, safety and modalities of information representation with regard to women and statin use, situated within the historical co...",23,MED-2428,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-5116,0.25707102,0.33569023,0.063340895,22,45,-23,10.9919071969971,-8.599905014038086,0,Caiu,Dietary flavonoid intake and breast cancer survival among women on Long Island.. BACKGROUND: Laboratory research and a growing number of epidemiologic studies have provided evidence for a reduced risk of breast cancer associated with dietar...,23,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-3845,0.15322895,0.19329388,0.24512799,18,50,-32,11.299770441252127,-9.172313690185547,0,Caiu,Serum enterolactone levels and mortality outcome in women with early breast cancer: a retrospective cohort study.. We previously demonstrated that high serum enterolactone levels are associated with a reduced incidence of breast cancer in h...,32,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-1555,-0.42510277,0.22917141,-0.26470423,15,49,-34,11.627253402444225,-9.028274536132812,0,Caiu,Diet and serum cholesterol: do zero correlations negate the relationship?. The confounding that results from the uncontrolled conditions under which most epidemiologic observations are made is sufficient to undermine their validity with res...,34,,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-4450,0.21652962,0.5063928,-0.023079043,16,52,-36,11.52276599184726,-9.421947479248047,0,Caiu,Post-diagnosis dietary factors and survival after invasive breast cancer. Little is known about the effects of diet after breast cancer diagnosis on survival. We prospectively examined the relation between post-diagnosis dietary factors and...,36,MED-4450,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2792,-0.19345051,0.015009841,-0.4287002,14,59,-45,11.765539482693205,-10.132431983947754,0,Caiu,Cholesterol oxides in Indian ghee: possible cause of unexplained high risk of atherosclerosis in Indian immigrant populations.. Two populations of immigrants to London and to the West Indies from the Indian subcontinent have higher than exp...,45,MED-2792,Caiu
NF-Corpus,nfcorpus,PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-4650,0.40652123,-0.21479967,0.043412812,11,57,-46,12.347603411924968,-10.063077926635742,0,Caiu,Phytochemicals for breast cancer prevention by targeting aromatase.. Aromatase is a cytochrome P450 enzyme (CYP19) and is the rate limiting enzyme in the conversion of androgens to estrogens. Suppression of in situ estrogen production throu...,46,MED-4650,Caiu
