dataset,query_id,query,top10_overlap_count,top10_overlap_ratio,new_docs_after_bge,removed_docs_after_bge
SciFact,350,Discrimination between the initiator and elongation tRNAs depends on the translation initiation factor IF3.,6,0.6,"['18987782', '12149169', '2479538', '24521894']","['8698857', '16242975', '24863571', '39729277']"
SciFact,354,Downregulation and mislocalization of Scribble prevents cell transformation and mammary tumorigenesis.,5,0.5,"['15521377', '43419566', '22317868', '4429932', '25576204']","['17917408', '21521236', '18953920', '1866911', '16532419']"
SciFact,362,During the primary early antibody response activated B cells migrate toward the inner-and outer paracortical areas where oxysterol accumulation is generated by stromal cells.,4,0.4,"['15058155', '9831859', '23305884', '17717391', '27647593', '32742683']","['38528892', '1471041', '14333540', '7666498', '43619625', '8883846']"
SciFact,380,Enhanced early production of inflammatory chemokines improves viral control in the lung.,4,0.4,"['26068103', '15425958', '12966719', '45449835', '26067999', '17097974']","['10648422', '6144969', '23912923', '67045088', '27602752', '3083927']"
SciFact,384,Epidemiological disease burden from noncommunicable diseases is more prevalent in low economic settings.,6,0.6,"['7285256', '21495419', '20610390', '22420524']","['8708082', '18074797', '14319754', '25451374']"
SciFact,385,Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.,7,0.7,"['24726600', '3446400', '29321530']","['5991309', '10852047', '2506153']"
SciFact,386,Errors in peripheral IV drug administration are most common during bolus administration and multiple-step medicine preparations.,5,0.5,"['2475059', '12258338', '79231308', '70516463', '35186640']","['22371455', '34544514', '3929361', '17897801', '15997009']"
SciFact,388,Ethanol stress decreases the expression of IBP in bacteria.,4,0.4,"['38944245', '21373821', '19851614', '25488034', '32159283', '27665523']","['24019260', '1148122', '28025754', '44693226', '4641348', '35085326']"
SciFact,399,Exposure to fine particulate air pollution is relate to anxiety prevalence.,8,0.8,"['21495419', '2613775']","['6333347', '275294']"
SciFact,410,Febrile seizures increase the threshold for development of epilepsy.,7,0.7,"['5691302', '21472388', '37592824']","['29723642', '25416944', '35520219']"
SciFact,411,Febrile seizures reduce the threshold for development of epilepsy.,7,0.7,"['5691302', '37592824', '3878434']","['29723642', '35520219', '42373943']"
SciFact,415,Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for dementia.,7,0.7,"['37583120', '13933299', '4505748']","['20937018', '5402581', '380526']"
SciFact,421,Flexible molecules experience greater steric hindrance in the tumor microenviroment than rigid molecules.,0,0.0,"['4429118', '21902400', '34066665', '21598000', '44640124', '14768471', '42489926', '207972', '9460704', '5132358']","['39728826', '17631671', '41165286', '4270992', '22980205', '11328820', '29459383', '27545868', '198309074', '21557614']"
SciFact,431,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).,3,0.3,"['44640124', '19922508', '25488034', '1748921', '26297042', '52944377', '2686003']","['36838958', '2543135', '14092737', '10993232', '6000423', '24746892', '1941721']"
SciFact,436,Free histones are degraded by a Rad53-dependent mechanism once DNA has been replicated.,5,0.5,"['12086599', '38131471', '4319844', '8577229', '14853989']","['8331432', '15926408', '14145440', '12588500', '13907427']"
SciFact,437,Functional consequences of genomic alterations due to Myelodysplastic syndrome (MDS) are poorly understood due to the lack of an animal model.,6,0.6,"['5836', '6000423', '8385277', '8083310']","['20288322', '470625', '24466904', '33677323']"
SciFact,439,Fz/PCP-dependent Pk localizes to the anterior membrane of neuroectoderm cells during zebrafish neuralation,6,0.6,"['22178316', '24725136', '9629682', '6268106']","['18575183', '6729465', '15473205', '17685207']"
SciFact,440,Fz/PCP-dependent Pk localizes to the anterior membrane of notochord cells during zebrafish neuralation.,5,0.5,"['4422723', '19822046', '4320111', '9629682', '6268106']","['18575183', '6729465', '15473205', '17685207', '39763465']"
SciFact,443,GATA-3 is important for hematopoietic stem cell (HSC) function.,6,0.6,"['2701077', '10015292', '92499', '54561384']","['12130067', '11289247', '18909530', '2853291']"
SciFact,452,Gene expression does not vary appreciably across genetically identical cells.,2,0.2,"['8290760', '4378885', '18333304', '9154703', '5824955', '4465608', '1852826', '13205096']","['7042304', '18264714', '18747744', '10666475', '4410181', '2828460', '23573229', '10546779']"
SciFact,475,Glycolysis is one of the primary glycometabolic pathways in cells.,7,0.7,"['20672596', '1605196', '6144969']","['8724666', '23576165', '236204']"
SciFact,478,Golli-deficient T-cells prefer to differentiate into an anergic phenotype in the adaptive immune response when there are increased levels of Ca2+ in the cytosol.,3,0.3,"['37964706', '29362104', '7869794', '10846815', '23460562', '35271381', '19561411']","['21878751', '4380287', '2506153', '1605392', '31293581', '23912923', '5979056']"
SciFact,491,HNF4A mutations can cause diabetes in mutant carriers by the age of 14 years,4,0.4,"['8524891', '27428509', '1387104', '7552215', '28441310', '10071552']","['8892905', '15692098', '43311750', '10574949', '16966326', '24725136']"
SciFact,501,Headaches are not correlated with cognitive impairment.,5,0.5,"['5556809', '8520041', '1281769', '13282296', '24510595']","['24865781', '7239105', '14606752', '20471181', '37156349']"
SciFact,502,"Healthcare delivery efficiency in crowded delivery centers is impaired by improving structural, logistical, and interpersonal elements.",5,0.5,"['20491205', '38180456', '437924', '5323845', '13933299']","['7317051', '43990286', '2565138', '20888849', '6993046']"
SciFact,507,Helminths interfere with immune system control of macrophages activated by IL-4 favor Mycobacterium tuberculosis replication.,5,0.5,"['23801039', '4319174', '5511240', '17829012', '22852120']","['35079452', '16066726', '7230315', '19851614', '38043606']"
SciFact,508,Hematopoietic Stem Cell purification reaches purity rate of up to 50%.,5,0.5,"['4381486', '20186814', '3863543', '2701077', '92499']","['104143831', '24541180', '42787108', '34982259', '5107861']"
SciFact,513,High cardiopulmonary fitness causes increased mortality rate.,2,0.2,"['6525844', '24408040', '14021596', '8582337', '75636923', '25293616', '202259', '9617381']","['13230773', '36288526', '11441172', '2575938', '2424794', '35495268', '15830352', '4463588']"
SciFact,514,High dietary calcium intakes are unnecessary for prevention of secondary hyperparathyroidism in subjects with 25(OH)D levels above 75 nmol/liter.,9,0.9,['16256507'],['22023404']
SciFact,516,High levels of CRP reduces the risk of exacerbations in chronic obstructive pulmonary disease (COPD).,7,0.7,"['21048969', '20887554', '21003930']","['3580005', '9440748', '21395936']"
SciFact,517,High levels of copeptin decrease risk of diabetes.,3,0.3,"['13619127', '5698494', '27449472', '15663829', '7552215', '8708082', '17656445']","['32850528', '6176498', '12130200', '30981192', '31890716', '2138843', '12770738']"
SciFact,521,High-sensitivity cardiac troponin T (HSCT-T) dosage may not be diagnostic if the onset of symptoms occurs less than 3 hours before acute myocardial injury (AMI).,7,0.7,"['5558754', '32159283', '5152028']","['27910499', '40156901', '17682477']"
SciFact,525,Histone demethylase recruitment and a transient decrease in histone methylation is necessary for ligand-dependent induction of transcription by nuclear receptors.,3,0.3,"['40667066', '20630805', '11557602', '2405259', '35395662', '23195302', '8548635']","['29788648', '2151983', '15215393', '4547102', '36547290', '502591', '6455142']"
SciFact,527,Homozygous deletion of murine Sbds gene from osterix-expressing mesenchymal stem and progenitor cells (MPCs) prevents oxidative stress.,3,0.3,"['24766509', '14496749', '27665523', '18489989', '25488034', '1748921', '8702697']","['43385013', '25827024', '4366738', '9412420', '3140772', '27279525', '6148876']"
SciFact,528,Human T-lymphotropic virus type-I-associated myelopathy / tropical spastic paraparesis (HAM/TSP) patients produce Immunoglobulin G (IgG) antibodies which cross-react with an immunodominant epitope in Tax.,6,0.6,"['8325952', '13469921', '39443128', '2052720']","['44420873', '27772649', '23915841', '13965483']"
SciFact,532,Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.,4,0.4,"['11718220', '23195674', '4890578', '18111172', '29981186', '34268160']","['5238341', '15685921', '34338075', '23783727', '14973286', '36288526']"
SciFact,533,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,5,0.5,"['23195674', '11718220', '39059143', '29981186', '13625993']","['5238341', '34338075', '23783727', '14973286', '36288526']"
SciFact,535,Hypertension is frequently observed in type 1 diabetes patients.,5,0.5,"['54490092', '31889025', '5839365', '13445579', '2138767']","['43483151', '1538080', '30805636', '25510546', '41264017']"
SciFact,536,Hypocretin neurones induce panicprone state in rats.,3,0.3,"['27022864', '14192687', '7157436', '17097974', '8790729', '34101101', '41911192']","['12130690', '9288638', '23746332', '22178316', '7840442', '2605032', '45153864']"
SciFact,539,Hypoglycemia increases the risk of dementia.,6,0.6,"['11616424', '13933299', '37583120', '13814480']","['11886686', '20697217', '32463364', '36003142']"
SciFact,540,Hypothalamic glutamate neurotransmission is crucial to energy balance.,6,0.6,"['1070920', '45154987', '5839365', '13441037']","['4700428', '306311', '16398827', '3085264']"
SciFact,544,IFIT1 restricts viral replication by sequestrating mis-capped viral RNAs.,4,0.4,"['601033', '1970884', '9433958', '16172576', '32720933', '6144969']","['10559501', '26873988', '11784947', '5137019', '5633957', '16058322']"
SciFact,549,IRG1 has antiviral effects against neurotropic viruses.,3,0.3,"['3107733', '21700295', '6323196', '44366096', '24157077', '8563659', '21909315']","['9539248', '1970884', '30034334', '25124117', '17682477', '4347374', '30437264']"
SciFact,551,ITAM phosphorylation prevents the transfer of the T cell receptor (TCR) signal from the echo-domain to the cytoplasmic tail of the T cell receptor (TCR).,4,0.4,"['9283422', '15972906', '2825380', '41982985', '13868795', '25479072']","['33499189', '23032247', '20457190', '52095986', '6961811', '28006126']"
SciFact,552,IgA plasma cells that are specific for transglutaminase 2 accumulate in the duodenal mucosa on commencement of a gluten-free diet.,8,0.8,"['17695748', '44420873']","['11415809', '9244474']"
SciFact,554,Immune complex triggered cell death leads to extracellular release of neutrophil protein HMGB1.,7,0.7,"['11837657', '364522', '9977329']","['14853989', '43054703', '22696649']"
SciFact,560,Immune responses result in the development of inflammatory Th17 cells and anti-inflammatory iTregs.,4,0.4,"['25726838', '40323148', '40312663', '16119973', '29023309', '13798951']","['29347970', '51952430', '19005293', '11328820', '29509926', '14644164']"
SciFact,569,"In adult tissue, most T cells are memory T cells.",3,0.3,"['10765888', '991137', '13636631', '601033', '37311371', '11666252', '15972906']","['3155731', '3835423', '22198971', '24879055', '12966719', '13398997', '3952288']"
SciFact,575,"In domesticated populations of Saccharomyces cerevisiae, whole chromosome aneuploidy is very uncommon.",1,0.1,"['10300888', '4423220', '39758684', '34103335', '9548440', '9704467', '26083387', '8247597', '1754001']","['3400973', '27134931', '13613916', '23664875', '26182390', '27274441', '14446279', '8250852', '8747771']"
SciFact,577,"In mice, P. chabaudi parasites are able to proliferate faster early in infection when inoculated at lower numbers than when inoculated at high numbers.",4,0.4,"['4380287', '35321950', '7155555', '17973161', '33835579', '3930020']","['42065070', '85693958', '21878751', '20344442', '16284655', '10582939']"
SciFact,578,"In mouse models, the loss of CSF1R facilitates MOZ-TIF2-induced leuekmogenesis.",3,0.3,"['46617075', '10795340', '4465735', '10463997', '12315072', '7239105', '40127292']","['14174055', '14434123', '31882215', '34103335', '5953485', '6776834', '37249641']"
SciFact,587,"In transgenic mice harboring green florescent protein under the control of the Sox2 promoter, less than ten percent of the cells with green florescent colocalize with cell proliferation markers.",4,0.4,"['3756384', '42855554', '11172205', '39426225', '14615911', '22948960']","['7142113', '21230110', '2296264', '25028913', '22705234', '15563864']"
SciFact,589,"In young and middle-aged adults, current or remote uses of ADHD medications do not increase the risk of serious cardiovascular events.",5,0.5,"['5556809', '2338488', '40996863', '37488367', '16760369']","['752423', '12206390', '1287809', '17914395', '4647303']"
SciFact,593,Incidence of heart failure decreased by 10% in women since 1979.,3,0.3,"['13481731', '9548440', '12810152', '4445629', '33533307', '1686881', '1102268']","['36355784', '20945963', '6993046', '8509018', '27460509', '7209559', '25355575']"
SciFact,597,Incidence rates of cervical cancer have decreased.,6,0.6,"['12074066', '27446873', '52188256', '10958594']","['756887', '76415938', '27240667', '14408200']"
SciFact,598,Incidence rates of cervical cancer have increased due to nationwide screening programs based primarily on cytology to detect uterine cervical cancer.,8,0.8,"['76415938', '52188256']","['12779444', '16980892']"
SciFact,613,Increased microtubule acetylation repairs LRRK2 Roc-COR domain mutation induced locomotor deficits.,6,0.6,"['20054396', '6492658', '7925817', '1546650']","['42035464', '33911859', '21465696', '15953181']"
SciFact,619,Increased vessel density along with a reduction in fibrosis decreases the efficacy of chemotherapy treatments.,1,0.1,"['22482820', '195680777', '1065627', '9929089', '24974080', '15476777', '15946643', '20127522', '24575065']","['6673421', '21258863', '49556906', '25175997', '20888849', '5573975', '26000593', '29473081', '13108582']"
SciFact,623,Individuals with low serum vitamin D concentrations have increased risk of multiple sclerosis.,6,0.6,"['43226130', '17000834', '2425364', '9555784']","['36960449', '18557974', '13312471', '30720103']"
