dataset,query_id,bm25_ndcg,bm25_mrr,bm25_recall,bm25_map,reranker_ndcg,reranker_mrr,reranker_recall,reranker_map,delta_nDCG@10,delta_MRR@10,delta_Recall@10,delta_MAP@10,dataset_slug,query,interpretacao
SciFact,127,0.5,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,0.6666666666666667,0.0,0.6666666666666667,scifact,Arginine 90 in p150n is important for interaction with EB1.,reranker melhorou o ranking da query no topo
SciFact,238,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,scifact,Cells undergoing methionine restriction may activate miRNAs.,reranker melhorou o ranking da query no topo
SciFact,1362,0.5,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,0.6666666666666667,0.0,0.6666666666666667,scifact,Venules have a larger lumen diameter than arterioles.,reranker melhorou o ranking da query no topo
SciFact,636,0.5,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,0.6666666666666667,0.0,0.6666666666666667,scifact,"Inositol lipid 3-phosphatase PTEN converts Ptdlns(3,4)P 2 into phosphatidylinositol 4-phosphate.",reranker melhorou o ranking da query no topo
SciFact,768,0.0,0.0,0.0,0.0,0.43067655807339306,0.25,1.0,0.25,0.43067655807339306,0.25,1.0,0.25,scifact,Mercaptopurine is anabolized into the inactive methylmercaptopurine by thiopurine methyltrasnferase (TPMT).,reranker melhorou o ranking da query no topo
SciFact,1368,0.0,0.0,0.0,0.0,0.43067655807339306,0.25,1.0,0.25,0.43067655807339306,0.25,1.0,0.25,scifact,Vitamin D deficiency effects the term of delivery.,reranker melhorou o ranking da query no topo
SciFact,623,0.0,0.0,0.0,0.0,0.38685280723454163,0.2,1.0,0.2,0.38685280723454163,0.2,1.0,0.2,scifact,Individuals with low serum vitamin D concentrations have increased risk of multiple sclerosis.,reranker melhorou o ranking da query no topo
SciFact,452,0.23719771276929622,0.2,0.5,0.1,0.6131471927654584,1.0,0.5,0.5,0.37594947999616213,0.8,0.0,0.4,scifact,Gene expression does not vary appreciably across genetically identical cells.,reranker melhorou o ranking da query no topo
SciFact,269,0.6309297535714575,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.36907024642854247,0.5,0.0,0.5,scifact,Cold exposure reduces BAT recruitment.,reranker melhorou o ranking da query no topo
SciFact,249,0.6309297535714575,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.36907024642854247,0.5,0.0,0.5,scifact,Chenodeosycholic acid treatment reduces whole-body energy expenditure.,reranker melhorou o ranking da query no topo
SciFact,692,0.6309297535714575,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.36907024642854247,0.5,0.0,0.5,scifact,Leuko-increased blood increases infectious complications in red blood cell transfusion.,reranker melhorou o ranking da query no topo
SciFact,718,0.6309297535714575,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.36907024642854247,0.5,0.0,0.5,scifact,Low nucleosome occupancy correlates with low methylation levels across species.,reranker melhorou o ranking da query no topo
SciFact,957,0.6309297535714575,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.36907024642854247,0.5,0.0,0.5,scifact,Podocytes are motile and migrate in the presence of injury.,reranker melhorou o ranking da query no topo
SciFact,439,0.6309297535714575,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.36907024642854247,0.5,0.0,0.5,scifact,Fz/PCP-dependent Pk localizes to the anterior membrane of neuroectoderm cells during zebrafish neuralation,reranker melhorou o ranking da query no topo
SciFact,440,0.6309297535714575,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.36907024642854247,0.5,0.0,0.5,scifact,Fz/PCP-dependent Pk localizes to the anterior membrane of notochord cells during zebrafish neuralation.,reranker melhorou o ranking da query no topo
SciFact,478,0.6309297535714575,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.36907024642854247,0.5,0.0,0.5,scifact,Golli-deficient T-cells prefer to differentiate into an anergic phenotype in the adaptive immune response when there are increased levels of Ca2+ in the cytosol.,reranker melhorou o ranking da query no topo
SciFact,75,0.6309297535714575,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.36907024642854247,0.5,0.0,0.5,scifact,"Active H. pylori urease has a polymeric structure that compromises two subunits, UreA and UreB.",reranker melhorou o ranking da query no topo
SciFact,993,0.6309297535714575,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.36907024642854247,0.5,0.0,0.5,scifact,Pyridostatin destabilizes the G - quadruplex in the telomeric region.,reranker melhorou o ranking da query no topo
SciFact,644,0.6309297535714575,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.36907024642854247,0.5,0.0,0.5,scifact,Insulin increases risk of severe kidney failure.,reranker melhorou o ranking da query no topo
SciFact,501,0.6309297535714575,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.36907024642854247,0.5,0.0,0.5,scifact,Headaches are not correlated with cognitive impairment.,reranker melhorou o ranking da query no topo
SciFact,729,0.6309297535714575,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.36907024642854247,0.5,0.0,0.5,scifact,Lymphadenopathy is observed in knockin mouse lacking the SHP-2 MAPK pathway.,reranker melhorou o ranking da query no topo
SciFact,268,0.6309297535714575,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.36907024642854247,0.5,0.0,0.5,scifact,Cold exposure increases BAT recruitment.,reranker melhorou o ranking da query no topo
SciFact,921,0.6309297535714575,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.36907024642854247,0.5,0.0,0.5,scifact,Participating in six months of physical activity improves cognitive functioning.,reranker melhorou o ranking da query no topo
SciFact,1280,0.0,0.0,0.0,0.0,0.3562071871080222,0.16666666666666666,1.0,0.16666666666666666,0.3562071871080222,0.16666666666666666,1.0,0.16666666666666666,scifact,"The ureABIEFGH gene cluster encodes urease maturation proteins : UreD/UreH, UreE, UreF, and UreG.",reranker melhorou o ranking da query no topo
SciFact,514,0.0,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,1.0,0.14285714285714285,0.3333333333333333,0.14285714285714285,1.0,0.14285714285714285,scifact,High dietary calcium intakes are unnecessary for prevention of secondary hyperparathyroidism in subjects with 25(OH)D levels above 75 nmol/liter.,reranker melhorou o ranking da query no topo
SciFact,517,0.0,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,1.0,0.14285714285714285,0.3333333333333333,0.14285714285714285,1.0,0.14285714285714285,scifact,High levels of copeptin decrease risk of diabetes.,reranker melhorou o ranking da query no topo
SciFact,728,0.6052602440527057,0.5,1.0,0.41666666666666663,0.8772153153380493,1.0,1.0,0.75,0.2719550712853436,0.5,0.0,0.33333333333333337,scifact,Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.,reranker melhorou o ranking da query no topo
SciFact,641,0.6131471927654584,1.0,0.5,0.5,0.8772153153380493,1.0,1.0,0.75,0.26406812257259094,0.0,0.5,0.25,scifact,Insomnia can be effectively treated with cognitive behavioral therapy.,reranker melhorou o ranking da query no topo
SciFact,133,0.13120507751234178,0.2,0.2,0.04,0.3571610374319355,0.25,0.6,0.16714285714285712,0.22595595991959372,0.04999999999999999,0.39999999999999997,0.1271428571428571,scifact,"Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3,4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.",reranker melhorou o ranking da query no topo
SciFact,637,0.2890648263178879,0.1,1.0,0.1,0.5,0.3333333333333333,1.0,0.3333333333333333,0.21093517368211212,0.2333333333333333,0.0,0.2333333333333333,scifact,Input from  mental and physical health care professionals is effective at decreasing homelessness.,reranker melhorou o ranking da query no topo
SciFact,1319,0.43067655807339306,0.25,1.0,0.25,0.6309297535714575,0.5,1.0,0.5,0.20025319549806447,0.25,0.0,0.25,scifact,Transplanted human glial cells can differentiate within the host animal.,reranker melhorou o ranking da query no topo
SciFact,587,0.43067655807339306,0.25,1.0,0.25,0.6309297535714575,0.5,1.0,0.5,0.20025319549806447,0.25,0.0,0.25,scifact,"In transgenic mice harboring green florescent protein under the control of the Sox2 promoter, less than ten percent of the cells with green florescent colocalize with cell proliferation markers.",reranker melhorou o ranking da query no topo
SciFact,756,0.3010299956639812,0.1111111111111111,1.0,0.1111111111111111,0.5,0.3333333333333333,1.0,0.3333333333333333,0.1989700043360188,0.2222222222222222,0.0,0.2222222222222222,scifact,Many proteins in human cells can be post-translationally modified at lysine residues via acetylation.,reranker melhorou o ranking da query no topo
SciFact,971,0.6444638628256741,0.3333333333333333,1.0,0.5011904761904762,0.8396538878217249,1.0,1.0,0.6678571428571429,0.19519002499605076,0.6666666666666667,0.0,0.16666666666666674,scifact,Primary cervical cancer screening with HPV detection has higher longitudinal sensitivity than conventional cytology to detect cervical intraepithelial neoplasia grade 2.,reranker melhorou o ranking da query no topo
SciFact,1274,0.6447841584694202,0.5,1.0,0.4666666666666666,0.8278123145308894,1.0,1.0,0.6428571428571429,0.18302815606146927,0.5,0.0,0.1761904761904763,scifact,The tip of the inner tube of the toxic type VI secretion system (T6SS) antibacterial effector in Escherichia coli (E. coli) carries toxic effector proteins.,reranker melhorou o ranking da query no topo
SciFact,179,0.5855700749881525,1.0,0.5,0.41666666666666663,0.75369761125927,1.0,0.75,0.6041666666666666,0.16812753627111754,0.0,0.25,0.1875,scifact,Birth-weight is positively associated with breast cancer.,reranker melhorou o ranking da query no topo
SciFact,54,0.3562071871080222,0.16666666666666666,1.0,0.16666666666666666,0.5,0.3333333333333333,1.0,0.3333333333333333,0.14379281289197782,0.16666666666666666,0.0,0.16666666666666666,scifact,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,reranker melhorou o ranking da query no topo
SciFact,702,0.5,0.3333333333333333,1.0,0.3333333333333333,0.6309297535714575,0.5,1.0,0.5,0.13092975357145753,0.16666666666666669,0.0,0.16666666666666669,scifact,Localization of PIN1 in the roots of Arabidopsis does not require VPS9a,reranker melhorou o ranking da query no topo
SciFact,1020,0.5,0.3333333333333333,1.0,0.3333333333333333,0.6309297535714575,0.5,1.0,0.5,0.13092975357145753,0.16666666666666669,0.0,0.16666666666666669,scifact,Rapid up-regulation and higher basal expression of interferon-induced genes increase survival of granule cell neurons that are infected by West Nile virus.,reranker melhorou o ranking da query no topo
SciFact,128,0.5,0.3333333333333333,1.0,0.3333333333333333,0.6309297535714575,0.5,1.0,0.5,0.13092975357145753,0.16666666666666669,0.0,0.16666666666666669,scifact,Arterioles have a larger lumen diameter than venules.,reranker melhorou o ranking da query no topo
SciFact,1021,0.5,0.3333333333333333,1.0,0.3333333333333333,0.6309297535714575,0.5,1.0,0.5,0.13092975357145753,0.16666666666666669,0.0,0.16666666666666669,scifact,Rapid up-regulation and higher basal expression of interferon-induced genes reduce survival of granule cell neurons that are infected by West Nile virus.,reranker melhorou o ranking da query no topo
SciFact,183,0.31546487678572877,0.125,1.0,0.125,0.43067655807339306,0.25,1.0,0.25,0.11521168128766429,0.125,0.0,0.125,scifact,Bone marrow cells contribute to adult macrophage compartments.,reranker melhorou o ranking da query no topo
SciFact,415,0.38685280723454163,0.2,1.0,0.2,0.5,0.3333333333333333,1.0,0.3333333333333333,0.11314719276545837,0.1333333333333333,0.0,0.1333333333333333,scifact,Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for dementia.,reranker melhorou o ranking da query no topo
SciFact,1370,0.38685280723454163,0.2,1.0,0.2,0.5,0.3333333333333333,1.0,0.3333333333333333,0.11314719276545837,0.1333333333333333,0.0,0.1333333333333333,scifact,Vitamin D deficiency is unrelated to birth weight.,reranker melhorou o ranking da query no topo
SciFact,873,0.0,0.0,0.0,0.0,0.10699313236726378,0.125,0.2,0.025,0.10699313236726378,0.125,0.2,0.025,scifact,Obesity is determined solely by environmental factors.,reranker melhorou o ranking da query no topo
SciFact,300,0.43067655807339306,0.25,1.0,0.25,0.5,0.3333333333333333,1.0,0.3333333333333333,0.06932344192660694,0.08333333333333331,0.0,0.08333333333333331,scifact,Cytosolic proteins bind to iron-responsive elements on mRNAs coding for DMT1. Cytosolic proteins bind to iron-responsive elements on mRNAs coding for proteins involved in iron uptake.,reranker melhorou o ranking da query no topo
SciFact,1180,0.43067655807339306,0.25,1.0,0.25,0.5,0.3333333333333333,1.0,0.3333333333333333,0.06932344192660694,0.08333333333333331,0.0,0.08333333333333331,scifact,The PRR MDA5 is a sensor of RNA virus infection.,reranker melhorou o ranking da query no topo
SciFact,1179,0.3010299956639812,0.1111111111111111,1.0,0.1111111111111111,0.3333333333333333,0.14285714285714285,1.0,0.14285714285714285,0.03230333766935212,0.031746031746031744,0.0,0.031746031746031744,scifact,The PRR MDA5 has a central DExD/H RNA helices domain.,reranker melhorou o ranking da query no topo
SciFact,1132,0.23719771276929622,0.2,0.5,0.1,0.2640681225725909,0.25,0.5,0.125,0.026870409803294665,0.04999999999999999,0.0,0.024999999999999994,scifact,TCR/CD3 microdomains are a required to induce the immunologic synapse to activate T cells.,reranker melhorou o ranking da query no topo
SciFact,36,0.21840743681816419,0.16666666666666666,0.5,0.08333333333333333,0.23719771276929622,0.2,0.5,0.1,0.01879027595113203,0.033333333333333354,0.0,0.016666666666666677,scifact,A deficiency of vitamin B12 increases blood levels of homocysteine.,reranker melhorou o ranking da query no topo
SciFact,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.",sem mudança em nDCG@10
SciFact,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,1/2000 in UK have abnormal PrP positivity.,sem mudança em nDCG@10
SciFact,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scifact,5% of perinatal mortality is due to low birth weight.,sem mudança em nDCG@10
SciFact,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,sem mudança em nDCG@10
SciFact,48,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.0,0.0,0.0,0.0,scifact,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",sem mudança em nDCG@10
SciFact,49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,ADAR1 binds to Dicer to cleave pre-miRNA.,sem mudança em nDCG@10
SciFact,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,AIRE is expressed in some skin tumors.,sem mudança em nDCG@10
SciFact,51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,ALDH1 expression is associated with better breast cancer outcomes.,sem mudança em nDCG@10
SciFact,53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,ALDH1 expression is associated with poorer prognosis in breast cancer.,sem mudança em nDCG@10
SciFact,1232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,The minor G allele of FOXO3 is related to more severe symptoms of Crohn's Disease.,sem mudança em nDCG@10
SciFact,1241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scifact,The myocardial lineage develops from cardiac progenitors of mesodermal origin.,sem mudança em nDCG@10
SciFact,1290,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,There is an inverse relationship between hip fractures and statin use.,sem mudança em nDCG@10
SciFact,1292,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,There is no association between HNF4A mutations and diabetes risks.,sem mudança em nDCG@10
SciFact,1298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,Thigh-length graduated compression stockings (GCS) did not reduce deep vein thrombosis in patients admitted to hospital who are immobile because of acute stroke.,sem mudança em nDCG@10
SciFact,1316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scifact,Transferred UCB T cells acquire a memory-like phenotype in recipients.,sem mudança em nDCG@10
SciFact,1332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scifact,Tumor necrosis factor alpha (TNF-α) and interleukin-1 (IL-1) are pro-inflammatory cytokines that inhibit IL-6 and IL-10.,sem mudança em nDCG@10
SciFact,1273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,The sliding activity of kinesin-8 protein Kip3 promotes bipolar spindle assembly.,sem mudança em nDCG@10
SciFact,1335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,UCB T cells maintain high TCR diversity after transplantation.,sem mudança em nDCG@10
SciFact,1336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,UCB T cells reduce TCR diversity after transplantation.,sem mudança em nDCG@10
SciFact,1337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,Ubiquitin ligase UBC13 generates a K63-linked polyubiquitin moiety at PCNA K164.,sem mudança em nDCG@10
SciFact,1339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,Ultrasound guidance significantly raises the number of traumatic procedures when attempting needle insertion.,sem mudança em nDCG@10
SciFact,1344,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.0,0.0,0.0,0.0,scifact,Up-regulation of the p53 pathway and related molecular events casues cancer resistance and results in a significantly shortened lifespan marked by senescent cells and accelerated organismal aging.,sem mudança em nDCG@10
SciFact,1352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,Upregulation of mosGCTL-1 is induced upon infection with West Nile virus.,sem mudança em nDCG@10
SciFact,1359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,Varenicline monotherapy is more effective after 12 weeks of treatment compared to combination nicotine replacement therapies with varenicline or bupropion.,sem mudança em nDCG@10
SciFact,1363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,Venules have a thinner or absent smooth layer compared to arterioles.,sem mudança em nDCG@10
SciFact,137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,Asymptomatic visual impairment screening in elderly populations does not lead to improved vision.,sem mudança em nDCG@10
SciFact,142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,sem mudança em nDCG@10
SciFact,143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,sem mudança em nDCG@10
SciFact,146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,sem mudança em nDCG@10
SciFact,1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scifact,The treatment of cancer patients with co-IR blockade does not cause any adverse autoimmune events.,sem mudança em nDCG@10
SciFact,1279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scifact,The treatment of cancer patients with co-IR blockade precipitates adverse autoimmune events.,sem mudança em nDCG@10
SciFact,1281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scifact,The ureABIEFGH gene cluster is induced by nickel (II) ion.,sem mudança em nDCG@10
SciFact,1282,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,Therapeutic use of the drug Dapsone to treat pyoderma gangrenous is based on anecdotal evidence.,sem mudança em nDCG@10
SciFact,171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).,sem mudança em nDCG@10
SciFact,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 leads to increased TDP-43-induced neuronal loss.,sem mudança em nDCG@10
SciFact,1163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,The DdrB protein from Deinococcus radiodurans is an alternative SSB.,sem mudança em nDCG@10
SciFact,1175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scifact,The PPR MDA5 has two N-terminal CARD domains.,sem mudança em nDCG@10
SciFact,312,0.38685280723454163,0.2,1.0,0.2,0.38685280723454163,0.2,1.0,0.2,0.0,0.0,0.0,0.0,scifact,De novo assembly of sequence data has more specific contigs than unassembled sequence data.,sem mudança em nDCG@10
SciFact,314,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,scifact,Deamination of cytidine to uridine on the minus strand of viral DNA results in catastrophic G-to-A mutations in the viral genome.,sem mudança em nDCG@10
SciFact,327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,Deletion of αvβ8 does not result in a spontaneous inflammatory phenotype.,sem mudança em nDCG@10
SciFact,1196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scifact,The availability of safe places to study is effective at decreasing homelessness.,sem mudança em nDCG@10
SciFact,1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scifact,The availability of safe places to study is not effective at decreasing homelessness.,sem mudança em nDCG@10
SciFact,1199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scifact,The benefits of colchicine were achieved with effective widespread use of secondary prevention strategies such as high-dose statins.,sem mudança em nDCG@10
SciFact,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scifact,The binding orientation of the ML-SA1 activator at hTRPML2 is different from the binding orientation of the ML-SA1 activator at hTRPML1.,sem mudança em nDCG@10
SciFact,1144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,Taxation of sugar-sweetened beverages had no effect on the incidence rate of type II diabetes in India.,sem mudança em nDCG@10
SciFact,1146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,Teaching hospitals do not provide better care than non-teaching hospitals.,sem mudança em nDCG@10
SciFact,1150,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,Tetraspanin-3 is a causative factor in the development of acute myelogenous leukemia,sem mudança em nDCG@10
SciFact,1216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,The extracellular domain of TMEM27 is cleaved in human beta cells.,sem mudança em nDCG@10
SciFact,1221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scifact,The genomic aberrations found in matasteses are very similar to those found in the primary tumor.,sem mudança em nDCG@10
SciFact,1225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,scifact,The locus rs647161 is associated with colorectal carcinoma.,sem mudança em nDCG@10
SciFact,1226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scifact,"The loss of the TET protein functions may have dire biological consequences, such as myeloid cancers.",sem mudança em nDCG@10
