dataset,query_id,query_text,doc_id,relevance,bm25_rank,reranker_rank,rank_delta,movement,bm25_score,reranker_score,appeared_only_after_reranker,dropped_after_reranker,doc_preview,doc_text
TREC-COVID,1,what is the origin of COVID-19,cniyembt,1,13.0,10.0,3.0,melhorou,25.54302366147516,4.456048965454102,False,False,"Could India be the origin of next COVID-19 like epidemic?. The COVID-19 global pandemic is not even over yet but it has already taught us a lot of lessons - the hard way. The vast majority of the global community has blamed the Chinese Illegal wildlife markets for the origin of this pandemic. Through careful scientific analysis, I have explained in this article that we don't need such wildlife markets for these kinds of outbreaks to occur in the future. I have also explained how India which is t...","Could India be the origin of next COVID-19 like epidemic?. The COVID-19 global pandemic is not even over yet but it has already taught us a lot of lessons - the hard way. The vast majority of the global community has blamed the Chinese Illegal wildlife markets for the origin of this pandemic. Through careful scientific analysis, I have explained in this article that we don't need such wildlife markets for these kinds of outbreaks to occur in the future. I have also explained how India which is the second-most populous country in the world, could be the origin of the next outbreak, even though such wildlife markets are either very rare or do not exist at all in India."
TREC-COVID,1,what is the origin of COVID-19,deajwhx0,2,,18.0,3.0,melhorou,,3.1308465003967285,True,False,"Bioinformatic analysis indicates that SARS-CoV-2 is unrelated to known artificial coronaviruses.. OBJECTIVE SARS-CoV-2 is responsible for the present coronavirus pandemic and some suggestions were made about its possible artificial origin. We, therefore, compared SARS-CoV-2 with such known viruses that were prepared in the laboratory and other relevant natural strains to estimate their genetic relatedness. MATERIALS AND METHODS BLAST and clustalW were used to identify and align viral sequences o...","Bioinformatic analysis indicates that SARS-CoV-2 is unrelated to known artificial coronaviruses.. OBJECTIVE SARS-CoV-2 is responsible for the present coronavirus pandemic and some suggestions were made about its possible artificial origin. We, therefore, compared SARS-CoV-2 with such known viruses that were prepared in the laboratory and other relevant natural strains to estimate their genetic relatedness. MATERIALS AND METHODS BLAST and clustalW were used to identify and align viral sequences of SARS-CoV-2 to other animal coronaviruses (human, bat, mouse, pangolin) and related artificial constructs. Phylogenetics trees were then prepared using iTOL. RESULTS Our study supports the notion that known artificial coronaviruses, including the chimeric SL-SHC014-MA15 synthesized in 2015, differ too much from SARS-CoV-2 to hypothesize an artificial origin of the latter. On the contrary, our data support the natural origin of the COVID-19 virus, likely derived from bats, possibly transferred to pangolins, before spreading to man. CONCLUSIONS Speculations about the artificial origin of SARS-CoV-2 are most likely unfounded. On the contrary, when carefully handled, engineered organisms provide a unique opportunity to study biological systems in a controlled fashion. Biotechnology is a powerful tool to advance medical research and should not be abandoned because of irrational fears."
TREC-COVID,1,what is the origin of COVID-19,41378qru,0,,19.0,2.0,melhorou,,2.930180072784424,True,False,"COVID-19 breakthroughs: separating fact from fiction. The newly recognised coronavirus SARS-CoV-2, causative agent of coronavirus disease (COVID-19), has caused a pandemic with huge ramifications for human interactions around the globe. As expected, research efforts to understand the virus and curtail the disease are moving at a frantic pace alongside the spread of rumours, speculations and falsehoods. In this article, we aim to clarify the current scientific view behind several claims or contro...","COVID-19 breakthroughs: separating fact from fiction. The newly recognised coronavirus SARS-CoV-2, causative agent of coronavirus disease (COVID-19), has caused a pandemic with huge ramifications for human interactions around the globe. As expected, research efforts to understand the virus and curtail the disease are moving at a frantic pace alongside the spread of rumours, speculations and falsehoods. In this article, we aim to clarify the current scientific view behind several claims or controversies related to COVID-19. Starting with the origin of the virus, we then discuss the effect of ibuprofen and nicotine on the severity of the disease. We highlight the knowledge on fomites and SARS-CoV-2 and discuss the evidence and explications for a disproportionately stronger impact of COVID-19 on ethnic minorities, including a potential protective role for vitamin D. We further review what is known about the effects of SARS-CoV-2 infection in children, including their role in transmission of the disease, and conclude with the science on different mortality rates between different countries and whether this hints at the existence of more pathogenic cohorts of SARS-CoV-2."
TREC-COVID,1,what is the origin of COVID-19,dckuhrlf,0,15.0,13.0,2.0,melhorou,25.482330791092835,3.789663553237915,False,False,"The need to manage the risk of thromboembolism in COVID-19 patients. COVID-19 first presented in Wuhan, Hubei Province, China, in December 2019. Thought to be of zoonotic origin, it has been named SARS-CoV-2 (COVID-19) and has spread rapidly. As of April 20(th), 2020, there have been more than 2.4 million cases recorded worldwide. The inflammatory process, cytokine storm, and lung injury that are associated with COVID-19 can put patients at an increased risk of thrombosis. It is uncertain what t...","The need to manage the risk of thromboembolism in COVID-19 patients. COVID-19 first presented in Wuhan, Hubei Province, China, in December 2019. Thought to be of zoonotic origin, it has been named SARS-CoV-2 (COVID-19) and has spread rapidly. As of April 20(th), 2020, there have been more than 2.4 million cases recorded worldwide. The inflammatory process, cytokine storm, and lung injury that are associated with COVID-19 can put patients at an increased risk of thrombosis. It is uncertain what the total incidences of thrombotic events in COVID-19 patients is currently at. Those with more severe disease and with other risk factors, including increasing age, male sex, obesity, cancer, comorbidities, and intensive care unit admission, are at higher risk of these events. However, there is little international guidance on managing these risks in COVID-19 patients. In this paper, we explore the current evidence and theories surrounding thrombosis in these unique patients and reflect on experience from our center."
TREC-COVID,1,what is the origin of COVID-19,ec8lpgl3,0,,20.0,1.0,melhorou,,2.887186050415039,True,False,"Scientists ‘strongly condemn’ rumors and conspiracy theories about origin of coronavirus outbreak ;Science ;AAAS. A group of 27 prominent public health scientists from outside China is pushing back against a steady stream of stories and even a scientific paper suggesting a laboratory in Wuhan, China, may be the origin of the outbreak of COVID-19 “The rapid, open, and transparent sharing of data on this outbreak is now being threatened by rumours and misinformation around its origins,” the scient...","Scientists ‘strongly condemn’ rumors and conspiracy theories about origin of coronavirus outbreak ;Science ;AAAS. A group of 27 prominent public health scientists from outside China is pushing back against a steady stream of stories and even a scientific paper suggesting a laboratory in Wuhan, China, may be the origin of the outbreak of COVID-19 “The rapid, open, and transparent sharing of data on this outbreak is now being threatened by rumours and misinformation around its origins,” the scientists, from nine countries, write in a statement published online by The Lancet yesterday"
TREC-COVID,1,what is the origin of COVID-19,csi7x7w8,0,20.0,,-1.0,piorou,25.28447553439255,,False,True,"CoViD-19 and stress in the pandemic: ""sanity is not statistical"". CoViD-19 pandemic is causing serious consequences on mental health, consequences that are considered that bad that World Health Organization has affirmed that mental health defence is priority in this particular moment of development of pandemic. In light of this alertness, what we are interested in approaching in this work, is the specific stress condition caused by pandemic, which underlies and precedes the described classificat...","CoViD-19 and stress in the pandemic: ""sanity is not statistical"". CoViD-19 pandemic is causing serious consequences on mental health, consequences that are considered that bad that World Health Organization has affirmed that mental health defence is priority in this particular moment of development of pandemic. In light of this alertness, what we are interested in approaching in this work, is the specific stress condition caused by pandemic, which underlies and precedes the described classification of diseases and which is going towards an increase in the entire world, including . The stress caused by pandemic is a new condition in comparison with what is known in clinical practice and with what is included in the classification of mental disorder. The ongoing stress condition and the mixture of different types of unconventional stress, which not only hits the present but also disrupts the future, create an entirely new form of clinical condition given by pandemic."
TREC-COVID,1,what is the origin of COVID-19,ykb23itb,0,19.0,,-2.0,piorou,25.28447553439255,,False,True,"CoViD-19 and stress in the pandemic: ""sanity is not statistical"".. CoViD-19 pandemic is causing serious consequences on mental health, consequences that are considered that bad that World Health Organization has affirmed that mental health defence is priority in this particular moment of development of pandemic. In light of this alertness, what we are interested in approaching in this work, is the specific stress condition caused by pandemic, which underlies and precedes the described classifica...","CoViD-19 and stress in the pandemic: ""sanity is not statistical"".. CoViD-19 pandemic is causing serious consequences on mental health, consequences that are considered that bad that World Health Organization has affirmed that mental health defence is priority in this particular moment of development of pandemic. In light of this alertness, what we are interested in approaching in this work, is the specific stress condition caused by pandemic, which underlies and precedes the described classification of diseases and which is going towards an increase in the entire world, including . The stress caused by pandemic is a new condition in comparison with what is known in clinical practice and with what is included in the classification of mental disorder. The ongoing stress condition and the mixture of different types of unconventional stress, which not only hits the present but also disrupts the future, create an entirely new form of clinical condition given by pandemic."
TREC-COVID,1,what is the origin of COVID-19,0paafp5j,0,4.0,7.0,-3.0,piorou,27.31292443396948,4.948669910430908,False,False,"Anesthesia and COVID-19: What We Should Know and What We Should Do.. Coronavirus disease 2019 (COVID-19), caused by Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2), was first reported in Wuhan, Hubei, China, and has spread to more than 200 other countries around the world. COVID-19 is a highly contagious disease with continuous human-to-human transmission. The origin of the virus is unknown. Airway manipulations and intubations, which are common during anesthesia procedures may incr...","Anesthesia and COVID-19: What We Should Know and What We Should Do.. Coronavirus disease 2019 (COVID-19), caused by Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2), was first reported in Wuhan, Hubei, China, and has spread to more than 200 other countries around the world. COVID-19 is a highly contagious disease with continuous human-to-human transmission. The origin of the virus is unknown. Airway manipulations and intubations, which are common during anesthesia procedures may increasingly expose anesthesia providers and intensive care unit team members to SARS-CoV-2. Through a comprehensive review of existing studies on COVID-19, this article presents the epidemiological and clinical characteristics of COVID-19, reviews current medical management, and suggests ways to improve the safety of anesthetic procedures. Owing to the highly contagious nature of the virus and the lack of therapeutic drugs or vaccines, precautions should be taken to prevent medical staff from COVID-19."
TREC-COVID,1,what is the origin of COVID-19,96zsd27n,0,5.0,8.0,-3.0,piorou,27.31292443396948,4.712624549865723,False,False,"Anesthesia and COVID-19: What We Should Know and What We Should Do. Coronavirus disease 2019 (COVID-19), caused by Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2), was first reported in Wuhan, Hubei, China, and has spread to more than 200 other countries around the world. COVID-19 is a highly contagious disease with continuous human-to-human transmission. The origin of the virus is unknown. Airway manipulations and intubations, which are common during anesthesia procedures may incre...","Anesthesia and COVID-19: What We Should Know and What We Should Do. Coronavirus disease 2019 (COVID-19), caused by Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2), was first reported in Wuhan, Hubei, China, and has spread to more than 200 other countries around the world. COVID-19 is a highly contagious disease with continuous human-to-human transmission. The origin of the virus is unknown. Airway manipulations and intubations, which are common during anesthesia procedures may increasingly expose anesthesia providers and intensive care unit team members to SARS-CoV-2. Through a comprehensive review of existing studies on COVID-19, this article presents the epidemiological and clinical characteristics of COVID-19, reviews current medical management, and suggests ways to improve the safety of anesthetic procedures. Owing to the highly contagious nature of the virus and the lack of therapeutic drugs or vaccines, precautions should be taken to prevent medical staff from COVID-19."
TREC-COVID,1,what is the origin of COVID-19,sphk023v,0,18.0,,-3.0,piorou,25.314742135444035,,False,True,"Pediatric SARS, H1N1, MERS, EVALI, and Now Coronavirus Disease (COVID-19) Pneumonia: What Radiologists Need to Know. OBJECTIVE. The purpose of this article is to review new pediatric lung disorders-including disorders that have occurred in recent years years such as severe acute respiratory syndrome (SARS), swine-origin influenza A (H1N1), Middle East respiratory syndrome (MERS), e-cigarette or vaping product use-associated lung injury (EVALI), and coronavirus disease (COVID-19) pneumonia-to enh...","Pediatric SARS, H1N1, MERS, EVALI, and Now Coronavirus Disease (COVID-19) Pneumonia: What Radiologists Need to Know. OBJECTIVE. The purpose of this article is to review new pediatric lung disorders-including disorders that have occurred in recent years years such as severe acute respiratory syndrome (SARS), swine-origin influenza A (H1N1), Middle East respiratory syndrome (MERS), e-cigarette or vaping product use-associated lung injury (EVALI), and coronavirus disease (COVID-19) pneumonia-to enhance understanding of the characteristic imaging findings. CONCLUSION. Although the clinical symptoms of SARS, H1N1, MERS, EVALI, and COVID-19 pneumonia in pediatric patients may be nonspecific, some characteristic imaging findings have emerged or are currently emerging. It is essential for radiologists to have a clear understanding of the characteristic imaging appearances of these lung disorders in pediatric patients to ensure optimal patient care."
TREC-COVID,1,what is the origin of COVID-19,18xs6375,0,17.0,,-4.0,piorou,25.314742135444035,,False,True,"Pediatric SARS, H1N1, MERS, EVALI, and Now Coronavirus Disease (COVID-19) Pneumonia: What Radiologists Need to Know.. OBJECTIVE. The purpose of this article is to review new pediatric lung disorders-including disorders that have occurred in recent years years such as severe acute respiratory syndrome (SARS), swine-origin influenza A (H1N1), Middle East respiratory syndrome (MERS), e-cigarette or vaping product use-associated lung injury (EVALI), and coronavirus disease (COVID-19) pneumonia-to en...","Pediatric SARS, H1N1, MERS, EVALI, and Now Coronavirus Disease (COVID-19) Pneumonia: What Radiologists Need to Know.. OBJECTIVE. The purpose of this article is to review new pediatric lung disorders-including disorders that have occurred in recent years years such as severe acute respiratory syndrome (SARS), swine-origin influenza A (H1N1), Middle East respiratory syndrome (MERS), e-cigarette or vaping product use-associated lung injury (EVALI), and coronavirus disease (COVID-19) pneumonia-to enhance understanding of the characteristic imaging findings. CONCLUSION. Although the clinical symptoms of SARS, H1N1, MERS, EVALI, and COVID-19 pneumonia in pediatric patients may be nonspecific, some characteristic imaging findings have emerged or are currently emerging. It is essential for radiologists to have a clear understanding of the characteristic imaging appearances of these lung disorders in pediatric patients to ensure optimal patient care."
TREC-COVID,1,what is the origin of COVID-19,37v59fs8,0,16.0,,-5.0,piorou,25.349912118376615,,False,True,"COVID-19: a crash test for biomedical publishing?. The effect of COVID-19 on biomedical publishing (BP) (i.e. scientific biomedical periodicals continuously published by research communities or commercial publishers) has not been deeply explored. To estimate the immediate COVID-19 impact on BP, we have assessed PubMed-indexed articles about COVID-19 (PMIAC) from December 2019 to April 2020. PMIAC have been classified according to publication date, country, and journals for evaluation of time-, r...","COVID-19: a crash test for biomedical publishing?. The effect of COVID-19 on biomedical publishing (BP) (i.e. scientific biomedical periodicals continuously published by research communities or commercial publishers) has not been deeply explored. To estimate the immediate COVID-19 impact on BP, we have assessed PubMed-indexed articles about COVID-19 (PMIAC) from December 2019 to April 2020. PMIAC have been classified according to publication date, country, and journals for evaluation of time-, region- and scientometric-dependant impact of COVID-19 on BP and have been curated manually (i.e. each entry has been individually analyzed). PMIAC analysis reflects geographic and temporal parameters of outbreak spread. A major BP problem is related to the fact that only 40% of articles report/review/analyze data. Another BP weakness is the clusterization of ""highly-trusted"" publications according to countries of origin and ""highly impacting"" journals. Finally, a problem highlighted by COVID-19 crisis is the increased specification of biomedical research. To solve the problem, analytical reviews integrating data from different areas of biology and medicine are required. The data on PMIAC suggest priority of ""what is published"" over ""where it is published"" and ""who are the authors"". We believe that our brief analysis may help to shape forthcoming BP to become more effective in solving immediate problems resulted from global threats."
TREC-COVID,1,what is the origin of COVID-19,fqs40ivc,1,7.0,15.0,-8.0,piorou,26.51739858260385,3.5751750469207764,False,False,"Emergence of COVID-19 Infection: What Is Known and What Is to Be Expected-Narrative Review Article. BACKGROUND: The discovery of the coronavirus disease 2019 (COVID-19) during a pneumonia outbreak in Wuhan city (China) has raised a global public health concern, as the city consists of around 11 million people and is considered a major transport and logistics hub. This deadly virus caused the world to be in high alert as the death toll and the number of confirmed cases is continuously rising sinc...","Emergence of COVID-19 Infection: What Is Known and What Is to Be Expected-Narrative Review Article. BACKGROUND: The discovery of the coronavirus disease 2019 (COVID-19) during a pneumonia outbreak in Wuhan city (China) has raised a global public health concern, as the city consists of around 11 million people and is considered a major transport and logistics hub. This deadly virus caused the world to be in high alert as the death toll and the number of confirmed cases is continuously rising since the first case was reported. The Chinese government warned that the transmission ability of the virus is increasing, and international efforts are needed to overcome this outbreak. The purpose of this review is to focus on the published articles about the new virus, which will give an insight into the current state of research and data available, as well as recommending future studies. METHODS: For this narrative review, more than 20 relevant scientific articles and reports were considered from various databases (e.g., Google Scholar, PubMed and Science Direct) using keywords such as Coronavirus Outbreak, COVID-19, Emerging Epidemics, Emerging Infections, and Novel Coronavirus. RESULTS: The results from this review show that the situation is rapidly evolving, as human-to-human transmission is occurring, and the number of new cases and mortalities is increasing by the day and on a global level. There is still ambiguity about mutation risks and how the virus spreads as the source was not yet identified. Major gaps in knowledge about the origin of the virus, epidemiology and transmission impose a great challenge, which emphasizes the need for further studies in the future."
