dataset,query_id,query,candidate_recall@100,num_relevant_qrels,num_bm25_relevant_top10,num_bge_relevant_top10,bm25_relevant_top10,bge_relevant_top10,delta_nDCG@10,failure_type
SciFact,385,Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.,1.0,2,1,1,['9767444'],['9767444'],0.0,sem_mudanca_relevante
SciFact,386,Errors in peripheral IV drug administration are most common during bolus administration and multiple-step medicine preparations.,1.0,1,1,1,['16495649'],['16495649'],0.0,sem_mudanca_relevante
SciFact,388,Ethanol stress decreases the expression of IBP in bacteria.,1.0,1,1,0,['1148122'],[],-0.5,falha_ou_piora_do_reranker
SciFact,399,Exposure to fine particulate air pollution is relate to anxiety prevalence.,1.0,1,1,1,['791050'],['791050'],0.0,sem_mudanca_relevante
SciFact,410,Febrile seizures increase the threshold for development of epilepsy.,1.0,1,1,1,['14924526'],['14924526'],0.0,sem_mudanca_relevante
SciFact,411,Febrile seizures reduce the threshold for development of epilepsy.,1.0,1,1,1,['14924526'],['14924526'],0.0,sem_mudanca_relevante
SciFact,415,Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for dementia.,1.0,1,1,1,['6309659'],['6309659'],0.11314719276545837,sucesso_do_reranker
SciFact,421,Flexible molecules experience greater steric hindrance in the tumor microenviroment than rigid molecules.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,431,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,436,Free histones are degraded by a Rad53-dependent mechanism once DNA has been replicated.,1.0,1,1,1,['14637235'],['14637235'],0.0,sem_mudanca_relevante
SciFact,437,Functional consequences of genomic alterations due to Myelodysplastic syndrome (MDS) are poorly understood due to the lack of an animal model.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,439,Fz/PCP-dependent Pk localizes to the anterior membrane of neuroectoderm cells during zebrafish neuralation,1.0,1,1,1,['4423559'],['4423559'],0.36907024642854247,sucesso_do_reranker
SciFact,440,Fz/PCP-dependent Pk localizes to the anterior membrane of notochord cells during zebrafish neuralation.,1.0,1,1,1,['4423559'],['4423559'],0.36907024642854247,sucesso_do_reranker
SciFact,443,GATA-3 is important for hematopoietic stem cell (HSC) function.,1.0,1,1,1,['10165258'],['10165258'],0.0,sem_mudanca_relevante
SciFact,452,Gene expression does not vary appreciably across genetically identical cells.,0.5,2,1,1,['464511'],['464511'],0.37594947999616213,sucesso_do_reranker
SciFact,475,Glycolysis is one of the primary glycometabolic pathways in cells.,1.0,1,0,0,[],[],0.0,relevantes_existiam_nos_candidatos_mas_ficaram_fora_top10
SciFact,478,Golli-deficient T-cells prefer to differentiate into an anergic phenotype in the adaptive immune response when there are increased levels of Ca2+ in the cytosol.,1.0,1,1,1,['14767844'],['14767844'],0.36907024642854247,sucesso_do_reranker
SciFact,491,HNF4A mutations can cause diabetes in mutant carriers by the age of 14 years,1.0,1,1,1,['56893404'],['56893404'],0.0,sem_mudanca_relevante
SciFact,501,Headaches are not correlated with cognitive impairment.,1.0,1,1,1,['17930286'],['17930286'],0.36907024642854247,sucesso_do_reranker
SciFact,502,"Healthcare delivery efficiency in crowded delivery centers is impaired by improving structural, logistical, and interpersonal elements.",0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,507,Helminths interfere with immune system control of macrophages activated by IL-4 favor Mycobacterium tuberculosis replication.,1.0,1,1,1,['30774694'],['30774694'],-0.5,falha_ou_piora_do_reranker
SciFact,508,Hematopoietic Stem Cell purification reaches purity rate of up to 50%.,1.0,1,0,0,[],[],0.0,relevantes_existiam_nos_candidatos_mas_ficaram_fora_top10
SciFact,513,High cardiopulmonary fitness causes increased mortality rate.,1.0,1,1,0,['13230773'],[],-1.0,falha_ou_piora_do_reranker
SciFact,514,High dietary calcium intakes are unnecessary for prevention of secondary hyperparathyroidism in subjects with 25(OH)D levels above 75 nmol/liter.,1.0,1,0,1,[],['16256507'],0.3333333333333333,sucesso_do_reranker
SciFact,516,High levels of CRP reduces the risk of exacerbations in chronic obstructive pulmonary disease (COPD).,1.0,1,1,1,['29564505'],['29564505'],0.0,sem_mudanca_relevante
SciFact,517,High levels of copeptin decrease risk of diabetes.,1.0,1,0,1,[],['15663829'],0.3333333333333333,sucesso_do_reranker
SciFact,521,High-sensitivity cardiac troponin T (HSCT-T) dosage may not be diagnostic if the onset of symptoms occurs less than 3 hours before acute myocardial injury (AMI).,1.0,1,1,1,['34873974'],['34873974'],-0.6131471927654584,falha_ou_piora_do_reranker
SciFact,525,Histone demethylase recruitment and a transient decrease in histone methylation is necessary for ligand-dependent induction of transcription by nuclear receptors.,1.0,1,1,1,['13639330'],['13639330'],0.0,sem_mudanca_relevante
SciFact,527,Homozygous deletion of murine Sbds gene from osterix-expressing mesenchymal stem and progenitor cells (MPCs) prevents oxidative stress.,1.0,1,1,1,['3863543'],['3863543'],0.0,sem_mudanca_relevante
SciFact,528,Human T-lymphotropic virus type-I-associated myelopathy / tropical spastic paraparesis (HAM/TSP) patients produce Immunoglobulin G (IgG) antibodies which cross-react with an immunodominant epitope in Tax.,1.0,1,1,1,['5476778'],['5476778'],0.0,sem_mudanca_relevante
SciFact,532,Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.,1.0,1,1,1,['12991445'],['12991445'],0.0,sem_mudanca_relevante
SciFact,533,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,1.0,1,1,1,['12991445'],['12991445'],0.0,sem_mudanca_relevante
SciFact,535,Hypertension is frequently observed in type 1 diabetes patients.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,536,Hypocretin neurones induce panicprone state in rats.,1.0,1,1,1,['16056514'],['16056514'],0.0,sem_mudanca_relevante
SciFact,539,Hypoglycemia increases the risk of dementia.,1.0,1,1,1,['13282296'],['13282296'],0.0,sem_mudanca_relevante
SciFact,540,Hypothalamic glutamate neurotransmission is crucial to energy balance.,1.0,2,1,1,['11886686'],['11886686'],-0.0328153151808101,falha_ou_piora_do_reranker
SciFact,544,IFIT1 restricts viral replication by sequestrating mis-capped viral RNAs.,1.0,1,0,0,[],[],0.0,relevantes_existiam_nos_candidatos_mas_ficaram_fora_top10
SciFact,549,IRG1 has antiviral effects against neurotropic viruses.,1.0,1,1,1,['9433958'],['9433958'],0.0,sem_mudanca_relevante
SciFact,551,ITAM phosphorylation prevents the transfer of the T cell receptor (TCR) signal from the echo-domain to the cytoplasmic tail of the T cell receptor (TCR).,1.0,1,1,0,['33499189'],[],-0.43067655807339306,falha_ou_piora_do_reranker
SciFact,552,IgA plasma cells that are specific for transglutaminase 2 accumulate in the duodenal mucosa on commencement of a gluten-free diet.,1.0,1,1,1,['1471041'],['1471041'],0.0,sem_mudanca_relevante
SciFact,554,Immune complex triggered cell death leads to extracellular release of neutrophil protein HMGB1.,1.0,1,1,1,['1049501'],['1049501'],-0.01786845654760455,falha_ou_piora_do_reranker
SciFact,560,Immune responses result in the development of inflammatory Th17 cells and anti-inflammatory iTregs.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,569,"In adult tissue, most T cells are memory T cells.",1.0,1,1,1,['23460562'],['23460562'],0.0,sem_mudanca_relevante
SciFact,575,"In domesticated populations of Saccharomyces cerevisiae, whole chromosome aneuploidy is very uncommon.",1.0,1,0,1,[],['10300888'],1.0,sucesso_do_reranker
SciFact,577,"In mice, P. chabaudi parasites are able to proliferate faster early in infection when inoculated at lower numbers than when inoculated at high numbers.",0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,578,"In mouse models, the loss of CSF1R facilitates MOZ-TIF2-induced leuekmogenesis.",1.0,1,1,1,['8764879'],['8764879'],0.0,sem_mudanca_relevante
SciFact,587,"In transgenic mice harboring green florescent protein under the control of the Sox2 promoter, less than ten percent of the cells with green florescent colocalize with cell proliferation markers.",1.0,1,1,1,['16999023'],['16999023'],0.20025319549806447,sucesso_do_reranker
SciFact,589,"In young and middle-aged adults, current or remote uses of ADHD medications do not increase the risk of serious cardiovascular events.",1.0,1,1,1,['10984005'],['10984005'],0.0,sem_mudanca_relevante
SciFact,593,Incidence of heart failure decreased by 10% in women since 1979.,1.0,1,1,1,['19675911'],['19675911'],0.0,sem_mudanca_relevante
SciFact,597,Incidence rates of cervical cancer have decreased.,1.0,3,3,3,"['36355784', '25742130', '12779444']","['36355784', '25742130', '12779444']",0.0,sem_mudanca_relevante
SciFact,598,Incidence rates of cervical cancer have increased due to nationwide screening programs based primarily on cytology to detect uterine cervical cancer.,1.0,1,1,1,['25742130'],['25742130'],-0.04074231032229342,falha_ou_piora_do_reranker
SciFact,613,Increased microtubule acetylation repairs LRRK2 Roc-COR domain mutation induced locomotor deficits.,1.0,1,1,1,['9638032'],['9638032'],0.0,sem_mudanca_relevante
SciFact,619,Increased vessel density along with a reduction in fibrosis decreases the efficacy of chemotherapy treatments.,0.5,2,1,0,['20888849'],[],-0.23719771276929622,falha_ou_piora_do_reranker
SciFact,623,Individuals with low serum vitamin D concentrations have increased risk of multiple sclerosis.,1.0,1,0,1,[],['17000834'],0.38685280723454163,sucesso_do_reranker
SciFact,628,Infection of human T-cell lymphotropic virus type 1 is most frequent in individuals of African origin.,1.0,1,1,1,['24512064'],['24512064'],0.0,sem_mudanca_relevante
SciFact,636,"Inositol lipid 3-phosphatase PTEN converts Ptdlns(3,4)P 2 into phosphatidylinositol 4-phosphate.",1.0,1,1,1,['24294572'],['24294572'],0.5,sucesso_do_reranker
SciFact,637,Input from  mental and physical health care professionals is effective at decreasing homelessness.,1.0,1,1,1,['25649714'],['25649714'],0.21093517368211212,sucesso_do_reranker
SciFact,641,Insomnia can be effectively treated with cognitive behavioral therapy.,1.0,2,1,2,['5912283'],"['5912283', '31554917']",0.26406812257259094,sucesso_do_reranker
SciFact,644,Insulin increases risk of severe kidney failure.,1.0,1,1,1,['13619127'],['13619127'],0.36907024642854247,sucesso_do_reranker
SciFact,649,Integrating classroom-based collaborative learning with Web-based collaborative learning leads to subpar class performance,1.0,1,1,1,['12789595'],['12789595'],-0.36907024642854247,falha_ou_piora_do_reranker
SciFact,659,Ivermectin is used to treat lymphatic filariasis.,1.0,1,1,1,['1215116'],['1215116'],0.0,sem_mudanca_relevante
SciFact,660,Ivermectin is used to treat onchocerciasis.,1.0,1,1,1,['1215116'],['1215116'],0.6131471927654584,sucesso_do_reranker
SciFact,674,LDL cholesterol has no involvement in the development of cardiovascular disease.,1.0,1,1,1,['2095573'],['2095573'],0.0,sem_mudanca_relevante
SciFact,684,Lack of clpC does not affect sporulation efficiency in Bacillus subtilis cells.,1.0,1,1,1,['4942718'],['4942718'],0.0,sem_mudanca_relevante
SciFact,690,Less than 10% of the gabonese children with Schimmelpenning-Feuerstein-Mims syndrome (SFM) had a plasma lactate of more than 5mmol/L.,1.0,1,0,1,[],['18750453'],0.5,sucesso_do_reranker
SciFact,691,Leukemia associated Rho guanine nucleotide-exchange factor represses RhoA in response to SRC activation.,1.0,1,1,1,['10991183'],['10991183'],0.0,sem_mudanca_relevante
SciFact,692,Leuko-increased blood increases infectious complications in red blood cell transfusion.,1.0,1,1,1,['24088502'],['24088502'],0.36907024642854247,sucesso_do_reranker
SciFact,693,Leuko-reduced blood reduces infectious complications in red blood cell transfusion.,1.0,1,1,1,['24088502'],['24088502'],0.0,sem_mudanca_relevante
SciFact,700,Localization of PIN1 in the Arabidopsis embryo does not require VPS9a,1.0,1,1,1,['4350400'],['4350400'],0.0,sem_mudanca_relevante
SciFact,702,Localization of PIN1 in the roots of Arabidopsis does not require VPS9a,1.0,1,1,1,['4350400'],['4350400'],0.13092975357145753,sucesso_do_reranker
SciFact,715,Low expression of miR7a does represses target genes and exerts a biological function in ovaries.,1.0,1,0,0,[],[],0.0,relevantes_existiam_nos_candidatos_mas_ficaram_fora_top10
SciFact,716,Low expression of miR7a exerts a biological function in testis.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,718,Low nucleosome occupancy correlates with low methylation levels across species.,1.0,1,1,1,['17587795'],['17587795'],0.36907024642854247,sucesso_do_reranker
SciFact,721,Lupus-prone mice infected with curliproducing bacteria have higher autoantibody titers compared to controls.,1.0,1,1,1,['1834762'],['1834762'],0.0,sem_mudanca_relevante
SciFact,723,Ly49Q directs the organization of neutrophil migration to inflammation sites by regulating membrane raft functions.,1.0,1,1,1,['5531479'],['5531479'],0.0,sem_mudanca_relevante
SciFact,727,Ly6C hi monocytes have a lower inflammatory capacity compared to their Ly6C lo counterparts.,1.0,1,1,1,['7521113'],['7521113'],-0.2440769463369159,falha_ou_piora_do_reranker
SciFact,728,Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.,1.0,2,2,2,"['7521113', '36444198']","['36444198', '7521113']",0.2719550712853436,sucesso_do_reranker
SciFact,729,Lymphadenopathy is observed in knockin mouse lacking the SHP-2 MAPK pathway.,1.0,1,1,1,['26851674'],['26851674'],0.36907024642854247,sucesso_do_reranker
SciFact,742,Macrolides have no protective effect against myocardial infarction.,1.0,1,1,1,['32159283'],['32159283'],0.0,sem_mudanca_relevante
SciFact,743,Macrolides protect against myocardial infarction.,1.0,1,1,1,['32159283'],['32159283'],0.0,sem_mudanca_relevante
SciFact,744,Macropinocytosis contributes to a cell's supply of amino acids via the intracellular uptake of protein.,1.0,1,1,1,['8460275'],['8460275'],0.0,sem_mudanca_relevante
SciFact,756,Many proteins in human cells can be post-translationally modified at lysine residues via acetylation.,1.0,1,1,1,['2831620'],['2831620'],0.1989700043360188,sucesso_do_reranker
SciFact,759,Mathematical models predict that using Artemisinin-based combination therapy over nongametocytocidal drugs have a dramatic impact in reducing malaria transmission.,1.0,1,1,1,['1805641'],['1805641'],0.0,sem_mudanca_relevante
SciFact,768,Mercaptopurine is anabolized into the inactive methylmercaptopurine by thiopurine methyltrasnferase (TPMT).,1.0,1,0,1,[],['6421792'],0.43067655807339306,sucesso_do_reranker
SciFact,770,Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in reduced efficacy and lower quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,1.0,1,1,1,['15476777'],['15476777'],0.0,sem_mudanca_relevante
SciFact,775,Mice defective for deoxyribonucleic acid (DNA) polymerase I (polI) reveal increased sensitivity to ionizing radiation (IR).,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,781,Mice that lack Interferon-γ or its receptor exhibit high resistance to experimental autoimmune myocarditis.,1.0,1,1,1,['24338780'],['24338780'],0.0,sem_mudanca_relevante
